Timestamp;Alter;Geschlecht;Körpergröße in cm
27/09/2022 09:00:47;41;Männlich;187,5
27/09/2022 09:27:12;24;Männlich;180
27/09/2022 09:27:26;23;Weiblich;174
27/09/2022 09:27:38;28;Weiblich;162
27/09/2022 09:27:52;22;Weiblich;172
27/09/2022 09:28:01;23;Männlich;181,5
27/09/2022 09:28:01;30;Männlich;185
27/09/2022 09:28:11;30;Männlich;182
27/09/2022 09:28:21;23;Männlich;171
27/09/2022 09:28:39;25;Männlich;175,5
27/09/2022 09:28:39;26;Weiblich;175
27/09/2022 09:29:12;27;Männlich;179
27/09/2022 09:29:12;22;Männlich;184,5
27/09/2022 09:29:34;24;Weiblich;186
27/09/2022 09:29:51;22;Männlich;195
27/09/2022 09:30:07;24;Weiblich;168
27/09/2022 09:30:10;24;Weiblich;176,0
27/09/2022 09:31:36;32;Männlich;186
27/09/2022 09:31:55;28;Weiblich;172
27/09/2022 09:31:57;23;Männlich;183
27/09/2022 10:00:27;26;Weiblich;167
27/09/2022 10:00:31;24;Weiblich;167
27/09/2022 10:00:31;24;Männlich;173
27/09/2022 10:00:33;25;Weiblich;168
27/09/2022 10:00:46;22;Weiblich;168
27/09/2022 10:01:00;32;Weiblich;167
27/09/2022 10:01:06;24;Weiblich;179
27/09/2022 10:01:50;24;Männlich;188
27/09/2022 10:04:02;25;Männlich;201
27/09/2022 16:03:16;24;Männlich;188
