id,youtube_id,title,comments,description,duration,event,film_date,languages,main_speaker,published_date,speaker_occupation,url,views
0,iG9CE55wbtY,Do schools kill creativity?,4553,Sir Ken Robinson makes an entertaining and profoundly moving case for creating an education system that nurtures (rather than undermines) creativity.,1164,TED2006,1140825600,60,Ken Robinson,1151367060,Author/educator,https://www.ted.com/talks/ken_robinson_says_schools_kill_creativity,47227110
1,rDiGYuQicpA,Averting the climate crisis,265,"With the same humor and humanity he exuded in \"An Inconvenient Truth,\" Al Gore spells out 15 ways that individuals can address climate change immediately, from buying a hybrid to inventing a new, hotter brand name for global warming.",977,TED2006,1140825600,43,Al Gore,1151367060,Climate advocate,https://www.ted.com/talks/al_gore_on_averting_climate_crisis,3200520
2,NEjZt0y6OOw,Simplicity sells,124,"New York Times columnist David Pogue takes aim at technology’s worst interface-design offenders, and provides encouraging examples of products that get it right. To funny things up, he bursts into song.",1286,TED2006,1140739200,26,David Pogue,1151367060,Technology columnist,https://www.ted.com/talks/david_pogue_says_simplicity_sells,1636292
3,gQ-cZRmHfs4,Greening the ghetto,200,"In an emotionally charged talk, MacArthur-winning activist Majora Carter details her fight for environmental justice in the South Bronx -- and shows how minority neighborhoods suffer most from flawed urban policy.",1116,TED2006,1140912000,35,Majora Carter,1151367060,Activist for environmental justice,https://www.ted.com/talks/majora_carter_s_tale_of_urban_renewal,1697550
4,RUwS1uAdUcI,The best stats you've ever seen,593,"You've never seen data presented like this. With the drama and urgency of a sportscaster, statistics guru Hans Rosling debunks myths about the so-called \"developing world.\"",1190,TED2006,1140566400,48,Hans Rosling,1151440680,Global health expert; data visionary,https://www.ted.com/talks/hans_rosling_shows_the_best_stats_you_ve_ever_seen,12005869
5,Cpc-t-Uwv1I,Why we do what we do,672,"Tony Robbins discusses the \"invisible forces\" that motivate everyone's actions -- and high-fives Al Gore in the front row.",1305,TED2006,1138838400,36,Tony Robbins,1151440680,Life coach; expert in leadership psychology,https://www.ted.com/talks/tony_robbins_asks_why_we_do_what_we_do,20685401
6,OtIyx687ytk,Letting go of God,919,"When two young Mormon missionaries knock on Julia Sweeney's door one day, it touches off a quest to completely rethink her own beliefs, in this excerpt from Sweeney's solo show \"Letting Go of God.\"",992,TED2006,1140739200,31,Julia Sweeney,1152490260,"Actor, comedian, playwright",https://www.ted.com/talks/julia_sweeney_on_letting_go_of_god,3769987
9,640BQNxB5mc,A life of purpose,900,"Pastor Rick Warren, author of \"The Purpose-Driven Life,\" reflects on his own crisis of purpose in the wake of his book's wild success. He explains his belief that God's intention is for each of us to use our talents and influence to do good.",1262,TED2006,1140825600,31,Rick Warren,1153181460,"Pastor, author",https://www.ted.com/talks/rick_warren_on_a_life_of_purpose,3095993
10,PdcqEjmuxjA,My wish: A call for open-source architecture,79,"Accepting his 2006 TED Prize, Cameron Sinclair demonstrates how passionate designers and architects can respond to world housing crises. He unveils his TED Prize wish for a network to improve global living standards through collaborative design.",1414,TED2006,1140912000,27,Cameron Sinclair,1153786260,"Co-founder, Architecture for Humanity",https://www.ted.com/talks/cameron_sinclair_on_open_source_architecture,1211416
12,MNhiHf84P9c,My wish: Help me stop pandemics,71,"Accepting the 2006 TED Prize, Dr. Larry Brilliant talks about how smallpox was eradicated from the planet, and calls for a new global system that can identify and contain pandemics before they spread.",1550,TED2006,1140652800,24,Larry Brilliant,1153786260,"Epidemiologist, philanthropist",https://www.ted.com/talks/larry_brilliant_wants_to_stop_pandemics,693341
14,y_TKjfgjiQs,One Laptop per Child,99,"Nicholas Negroponte, founder of the MIT Media Laboratory, describes how the One Laptop Per Child project will build and distribute the \"$100 laptop.\"",1057,TED2006,1140652800,25,Nicholas Negroponte,1154391060,Tech visionary,https://www.ted.com/talks/nicholas_negroponte_on_one_laptop_per_child,358304
15,-yOXsK5-SFY,An 11-year-old's magical violin,325,"Violinist Sirena Huang gives a technically brilliant and emotionally nuanced performance. In a charming interlude, the 11-year-old praises the timeless design of her instrument.",1481,TED2006,1140652800,31,Sirena Huang,1154995860,Violinist,https://www.ted.com/talks/sirena_huang_dazzles_on_violin,2702470
16,UU0MX8epDro,"Improvising on piano, aged 14",305,"Pianist and composer Jennifer Lin gives a magical performance, talks about the process of creativity and improvises a moving solo piece based on a random sequence of notes.",1445,TED2004,1077753600,32,Jennifer Lin,1154995860,"Pianist, composer",https://www.ted.com/talks/jennifer_lin_improvs_piano_magic,1628912
17,FwFkb1x7FJQ,Simple designs to save a life,88,Fumes from indoor cooking fires kill more than 2 million children a year in the developing world. MIT engineer Amy Smith details an exciting but simple solution: a tool for turning farm waste into clean-burning charcoal.,906,TED2006,1140739200,27,Amy Smith,1155600660,"inventor, engineer",https://www.ted.com/talks/amy_smith_shares_simple_lifesaving_design,1415724
21,FMkJVXi7Rp8,Nerdcore comedy,185,"Performer and web toymaker Ze Frank delivers a hilarious nerdcore standup routine, then tells us what he's seriously passionate about: helping people create and interact using simple, addictive web tools.",1136,TED2004,1077580800,26,Ze Frank,1156464660,"Humorist, web artist",https://www.ted.com/talks/ze_frank_s_nerdcore_comedy,6141440
23,x-ewvCNguug,"Why we love, why we cheat",556,"Anthropologist Helen Fisher takes on a tricky topic – love – and explains its evolution, its biochemical foundations and its social importance. She closes with a warning about the potential disaster inherent in antidepressant abuse.",1407,TED2006,1140739200,33,Helen Fisher,1157501460,"Anthropologist, expert on love",https://www.ted.com/talks/helen_fisher_tells_us_why_we_love_cheat,9260764
24,NQvMQEB0j_A,Happiness in body and soul,117,"Eve Ensler, creator of \"The Vagina Monologues,\" shares how a discussion about menopause with her friends led to talking about all sorts of sexual acts onstage, waging a global campaign to end violence toward women and finding her own happiness.",1225,TED2004,1075852800,23,Eve Ensler,1157501460,"Playwright, activist",https://www.ted.com/talks/eve_ensler_on_happiness_in_body_and_soul,1131864
25,gQliI_WGaGk,Chemical scum that dream of distant quasars,184,"Legendary scientist David Deutsch puts theoretical physics on the back burner to discuss a more urgent matter: the survival of our species. The first step toward solving global warming, he says, is to admit that we have a problem.",1140,TEDGlobal 2005,1121299200,29,David Deutsch,1158019860,Quantum physicist,https://www.ted.com/talks/david_deutsch_on_our_place_in_the_cosmos,1096862
26,1APOxsp1VFw,Why the universe seems so strange,507,"Biologist Richard Dawkins makes a case for \"thinking the improbable\" by looking at how the human frame of reference limits our understanding of the universe.",1316,TEDGlobal 2005,1120694400,36,Richard Dawkins,1158019860,Evolutionary biologist,https://www.ted.com/talks/richard_dawkins_on_our_queer_universe,2885999
28,iIiAAhUeR6Y,"Choice, happiness and spaghetti sauce",355,"\"Tipping Point\" author Malcolm Gladwell gets inside the food industry's pursuit of the perfect spaghetti sauce -- and makes a larger argument about the nature of choice and happiness.",1050,TED2004,1077753600,37,Malcolm Gladwell,1158624660,Writer,https://www.ted.com/talks/malcolm_gladwell_on_spaghetti_sauce,7023562
30,VO6XEQIsCoM,The paradox of choice,991,"Psychologist Barry Schwartz takes aim at a central tenet of western societies: freedom of choice. In Schwartz's estimation, choice has made us not freer but more paralyzed, not happier but more dissatisfied.",1177,TEDGlobal 2005,1121385600,45,Barry Schwartz,1159229460,Psychologist,https://www.ted.com/talks/barry_schwartz_on_the_paradox_of_choice,10000702
32,8iYpxRXlboQ,A roadmap to end aging,612,"Cambridge researcher Aubrey de Grey argues that aging is merely a disease -- and a curable one at that. Humans age in seven basic ways, he says, all of which can be averted.",1365,TEDGlobal 2005,1121299200,29,Aubrey de Grey,1159747860,Crusader against aging,https://www.ted.com/talks/aubrey_de_grey_says_we_can_avoid_aging,3277740
33,Ixjxvzb2-Fw,How mobile phones can fight poverty,74,"Iqbal Quadir tells how his experiences as a kid in poor Bangladesh, and later as a banker in New York, led him to start a mobile phone operator connecting 80 million rural Bangladeshi -- and to become a champion of bottom-up development.",952,TEDGlobal 2005,1121212800,21,Iqbal Quadir,1160439060,"Founder, GrameenPhone",https://www.ted.com/talks/iqbal_quadir_says_mobiles_fight_poverty,503517
34,8k_XH-ajLo0,Invest in Africa's own solutions,58,"Jacqueline Novogratz applauds the world's heightened interest in Africa and poverty, but argues persuasively for a new approach.",773,TEDGlobal 2005,1120176000,26,Jacqueline Novogratz,1160439060,Investor and advocate for moral leadership,https://www.ted.com/talks/jacqueline_novogratz_invests_in_ending_poverty,705389
35,18r6nchs91E,Why we should invest in a free press,43,"A free press -- papers, magazines, radio, TV, blogs -- is the backbone of any true democracy (and a vital watchdog on business). Sasa Vucinic, a journalist from Belgrade, talks about his new fund, which supports media by selling \"free press bonds.\"",1080,TEDGlobal 2005,1121299200,21,Sasa Vucinic,1161130260,Nonprofit venture capitalist,https://www.ted.com/talks/sasa_vucinic_invests_in_free_press,580891
36,A6GLw12jywo,How to rebuild a broken state,67,"Ashraf Ghani's passionate and powerful 10-minute talk, emphasizing the necessity of both economic investment and design ingenuity to rebuild broken states, is followed by a conversation with TED curator Chris Anderson on the future of Afghanistan.",1125,TEDGlobal 2005,1121126400,24,Ashraf Ghani,1161130260,President-elect of Afghanistan,https://www.ted.com/talks/ashraf_ghani_on_rebuilding_broken_states,809226
38,0Bvq8Vo8F8U,Why did I ski to the North Pole?,57,"Arctic explorer Ben Saunders recounts his harrowing solo ski trek to the North Pole, complete with engaging anecdotes, gorgeous photos and never-before-seen video.",1083,TED2005,1109203200,26,Ben Saunders,1161735060,Arctic explorer,https://www.ted.com/talks/ben_saunders_skis_to_the_north_pole,745231
43,8T_jwq9ph8k,Why people believe weird things,494,"Why do people see the Virgin Mary on a cheese sandwich or hear demonic lyrics in \"Stairway to Heaven\"? Using video and music, skeptic Michael Shermer shows how we convince ourselves to believe -- and overlook the facts.",805,TED2006,1140652800,41,Michael Shermer,1162944660,Skeptic,https://www.ted.com/talks/michael_shermer_on_believing_strange_things,5364639
44,IfbOyw3CT6A,The accelerating power of technology,233,"Inventor, entrepreneur and visionary Ray Kurzweil explains in abundant, grounded detail why, by the 2020s, we will have reverse-engineered the human brain and nanobots will be operating your consciousness.",1376,TED2005,1109203200,22,Ray Kurzweil,1163463060,"Inventor, futurist",https://www.ted.com/talks/ray_kurzweil_on_how_technology_will_transform_us,2434344
45,ap-ZC21bk18,How technology evolves,149,"Tech enthusiast Kevin Kelly asks \"What does technology want?\" and discovers that its movement toward ubiquity and complexity is much like the evolution of life.",1200,TED2005,1109203200,26,Kevin Kelly,1163463060,Digital visionary,https://www.ted.com/talks/kevin_kelly_on_how_technology_evolves,1536873
47,Y6bbMQXQ180,8 secrets of success,578,Why do people succeed? Is it because they're smart? Or are they just lucky? Neither. Analyst Richard St. John condenses years of interviews into an unmissable 3-minute slideshow on the real secrets of success.,210,TED2005,1109116800,66,Richard St. John,1166055060,"Marketer, success analyst",https://www.ted.com/talks/richard_st_john_s_8_secrets_of_success,10841210
