yt_id,channel_id,channel_title,published_at,url,title,description,duration_seconds,views,language,thumbnail,likes,comment_count
Gm5WJdGyNTI,UCdxxZI5F0u0l_wY8Bimsnow,FOM Hochschule,2024-11-14T06:46:12Z,https://www.youtube.com/watch?v=Gm5WJdGyNTI,"Flexibel, digital, anders: Wie die GenZ den Arbeitsmarkt verändert","New Work, Digitalisierung und der Fachkräftemangel – die Arbeitswelt ist im Umbruch, und die Generation Z bringt neue Erwartungen mit, die vieles Althergebrachte auf den Kopf stellen. Aber ist die neue Generation wirklich so faul wie ihr nachgesagt wird? Am 13. November um 18 Uhr gehen wir in einer Podiumsdiskussion den Mythen rund um die GenZ auf den Grund und diskutieren die Frage, wie diese Generation den Arbeitsmarkt tatsächlich prägt. Unsere Expertinnen und Experten beleuchten das Thema aus unterschiedlichen Perspektiven und teilen wertvolle Einblicke, Herausforderungen und Zukunftsstrategien.

Freuen Sie sich auf spannende Impulse von:
•    Susanne Nickel – Top 100 Speakerin, Rechtsanwältin und Expertin für Arbeit und Wandel
•    Prof. Dr. Alexander Spermann – Professor für Wirtschaftswissenschaften an der FOM Hochschule in Köln
•    Ivana Tadić – Personalentwicklerin, GenZ-Keynote-Speakerin und TikTok-Content-Creator
•    Rainer Grill – Leiter der Öffentlichkeitsarbeit bei ZIEHL-ABEGG und Experte für Unternehmenskommunikation
•    Moderation: Markus Tirok – Gründer der Interviewhelden, Moderator und Trainer",5215,656,unknown,https://i.ytimg.com/vi/Gm5WJdGyNTI/hqdefault.jpg,21,1
dhzDg5Ij0eY,UCdxxZI5F0u0l_wY8Bimsnow,FOM Hochschule,2024-07-11T12:31:15Z,https://www.youtube.com/watch?v=dhzDg5Ij0eY,Das Bachelor-Studium an der #fomhochschule! #studium #berufsbegleitend #studieren #bachelor,"Du möchtest im Job so richtig durchstarten? Ein Bachelor-Abschluss ist deine Eintrittskarte zu höheren Positionen. Und damit auch zu einem besseren Gehalt!

An der FOM Hochschule hast du die Wahl aus rund 30 berufsbegleitenden Bachelor-Studiengängen. Ob im Bereich Wirtschaft, Recht, Psychologie, IT, Ingenieurwesen oder Gesundheit & Soziales: Bei uns findest du das passende Studium für dich! 

Natürlich sind alle Bachelor-Abschlüsse staatlich und international anerkannt. Und das Beste: Du kannst das Wissen aus den Vorlesungen direkt im Job anwenden!

Und so kannst du an der FOM studieren:
Im Campus-Studium an einem unserer mehr als 30 FOM Hochschulzentren in ganz Deutschland. Oder im Digitalen Live-Studium – live gesendet aus unseren Hightech-TV-Studios. Je nach Studiengang kannst du sogar von Semester zu Semester neu entscheiden, wie du deine Vorlesungen besuchen willst.  

Du möchtest mehr erfahren? Alle Infos findest du auf fom.de!",56,492,unknown,https://i.ytimg.com/vi/dhzDg5Ij0eY/hqdefault.jpg,9,1
pAxdVmOV0pU,UCdxxZI5F0u0l_wY8Bimsnow,FOM Hochschule,2024-07-04T15:15:23Z,https://www.youtube.com/watch?v=pAxdVmOV0pU,Das Master-Studium an der #fomhochschule! #master #studium #berufsbegleitend #karriere,"Du hast deinen Bachelor in der Tasche und willst im nächsten Step Führungsverantwortung übernehmen? Mit einem berufsbegleitenden Master-Studium kannst du deine Karriere auf das nächste Level heben!  

An der FOM stehen dir mehr als 20 verschiedene Master-Studiengänge zur Auswahl – aus den Bereichen Wirtschaft, Recht, Psychologie, IT, Ingenieurwesen und Gesundheit & Soziales. Alle Master-Abschlüsse sind staatlich und international anerkannt. 

Du möchtest mehr erfahren? Alle Infos findest du auf fom.de!",59,323,unknown,https://i.ytimg.com/vi/pAxdVmOV0pU/hqdefault.jpg,5,0
sjSeSqkOJA4,UCdxxZI5F0u0l_wY8Bimsnow,FOM Hochschule,2024-06-18T05:27:35Z,https://www.youtube.com/watch?v=sjSeSqkOJA4,Dein Karriere-Booster: Das Duale Studium Telekom x FOM,"Du hast dein Abi in der Tasche und fragst dich, wie es jetzt weitergeht? Eine Ausbildung oder doch lieber ein Studium? Du kannst auch beides machen und dual studieren – mit zwei starken Partnern an deiner Seite, der FOM Hochschule und der Deutschen Telekom. Dabei profitierst du von den Vorteilen aus beiden Welten: Du machst einen akademischen Abschluss, parallel dazu sammelst du praktische Erfahrung und verdienst bereits dein eigenes Geld. Bei unserer Online-Infoveranstaltung am Montag, 17. Juni, erfährst du alles rund um das Studium an der FOM und deine Möglichkeiten bei der Telekom.",4147,1339,unknown,https://i.ytimg.com/vi/sjSeSqkOJA4/hqdefault.jpg,24,7
Pel2f9ij1tI,UCdxxZI5F0u0l_wY8Bimsnow,FOM Hochschule,2024-05-27T09:25:26Z,https://www.youtube.com/watch?v=Pel2f9ij1tI,Der FOM Hochschulbereich Wirtschaft & Recht #fomhochschule #studium #recht #wirtschaft #studieren,"Sie wollen im Business nicht nur mitspielen, sondern die Regeln kennen? Mit einem Studium im Hochschulbereich Wirtschaft & Recht der FOM Hochschule werden Sie zur unverzichtbaren Schlüsselfigur in jedem Unternehmen. Denn Sie lernen nicht nur Entscheidungen zu treffen - sondern auch, diese Entscheidungen rechtlich zu begründen. 

Egal ob Arbeits-, Vertrags-, Unternehmens- oder Steuerrecht: Bei uns eignen Sie sich das notwendige Know-how an, um in Fach- und Führungspositionen durchzustarten. Sorgen Sie mit Ihrem Wissen dafür, dass Ihr Unternehmen auf der sicheren Seite ist und tragen Sie so maßgeblich zu seinem Erfolg bei! 

Welche Studiengänge stehen Ihnen dafür an der FOM zur Auswahl? Hier ein paar Beispiele: 

In unserem Bachelor-Studiengang „Steuerrecht” beschäftigten Sie sich unter anderem intensiv mit verschiedenen Steuerarten und der Digitalisierung des Steuersystems. 

Sie möchten Ihr steuer- und wirtschaftsrechtliches Wissen vertiefen und streben das Steuerberaterexamen an? Dann ist der Master „Taxation” der passende Studiengang für Ihre beruflichen Ziele. 

Oder haben Sie vielleicht ein nicht-juristisches Studium absolviert, möchten sich aber gerne mit den gängigen Rechtsmethoden vertraut machen? Im Master „Recht & Management“ erlangen Sie juristisches Know-how für den Unternehmensalltag als Führungskraft. 

Ganz egal, für welchen Studiengang Sie sich entscheiden: Ihr Wissen aus dem Studium können Sie direkt im Job anwenden.

Sie wollen mehr erfahren? Alle Infos zu unseren Studiengängen im Hochschulbereich Wirtschaft & Recht finden Sie auf fom.de.",88,362,unknown,https://i.ytimg.com/vi/Pel2f9ij1tI/hqdefault.jpg,2,1
oMJ8MkPhLBE,UCdxxZI5F0u0l_wY8Bimsnow,FOM Hochschule,2024-05-27T09:23:15Z,https://www.youtube.com/watch?v=oMJ8MkPhLBE,Der FOM Hochschulbereich Wirtschaft & Psychologie #fomhochschule #studium #berufsbegleitend,"Um ökonomische Zusammenhänge erfolgreich bewerten zu können, müssen Sie das Verhalten von Menschen kennen. Sie möchten verstehen, was Konsumenten wirklich bewegt? Genau das lernen Sie an der FOM Hochschule!

Ein Studium in unserem Hochschulbereich Wirtschaft & Psychologie bereitet Sie darauf vor, Produkte, Prozesse und Organisationen erfolgreich aus beiden Perspektiven zu gestalten: betriebswirtschaftlich UND psychologisch.
Zur Auswahl Ihnen verschiedene praxisnahe Bachelor- und Master-Studiengänge. Zum Beispiel lernen Sie in unserem Bachelor „Wirtschaftspsychologie“, das Verhalten von Konsumenten zu erforschen und innovative Marketingstrategien zu entwickeln.

Oder vielleicht ist das Master-Studium „Arbeits-, Organisations- und Personalpsychologie” genau das Richtige für Sie: In diesem Studiengang erlangen Sie die nötigen Skills, um die Zusammenarbeit von Mitarbeitenden, Teams und Organisationen zu optimieren.  

Egal, für welches Studium Sie sich entscheiden: Alle Abschlüsse der FOM sind staatlich und international anerkannt und eröffnen Ihnen vielfältige Karrieremöglichkeiten. 

Möchten Sie mehr erfahren? Alle Infos zu unseren Studiengängen im Hochschulbereich Wirtschaft & Psychologie finden Sie auf fom.de",77,250,unknown,https://i.ytimg.com/vi/oMJ8MkPhLBE/hqdefault.jpg,2,0
L07U2182GNI,UCdxxZI5F0u0l_wY8Bimsnow,FOM Hochschule,2024-05-27T09:21:02Z,https://www.youtube.com/watch?v=L07U2182GNI,Der Hochschulbereich Wirtschaft & Management #fomhochschule #management #studium #berufsbegleitend,"Sie wollen Innovationen vorantreiben, Teams leiten und Unternehmen zum Erfolg führen? 

Die Studiengänge der FOM Hochschule im Bereich Wirtschaft & Management vermitteln Ihnen alle relevanten Fähigkeiten, die in der schnelllebigen Geschäftswelt unerlässlich sind. Zum Beispiel stärken Sie Ihre Digitalkompetenz, setzen sich mit aktuellen Trends auseinander und werden so zum innovativen Denker und Manager. 
Das Studienangebot der FOM ist dabei so vielfältig wie die Wirtschaft selbst. 

Hier ein paar Beispiele:
Der Bachelor-Studiengang „Business Administration” thematisiert alle betriebswirtschaftlichen Disziplinen - von der Personalwirtschaft über das Marketing bis hin zum Controlling. Oder erlangen Sie in unserem Master „Future Management“ Kenntnisse, wie Sie Unternehmen und Organisationen fit für die Zukunft machen können.

Sie haben die Wahl aus mehr als 20 Bachelor- und Master-Studiengängen: von „Finance & Banking” über „International Management” bis hin zu „Business Consulting & Digital Management”. Alle Bachelor- und Master-Abschlüsse sind staatlich und international anerkannt. Und das Beste: Sie können das Wissen aus den Vorlesungen direkt im Job anwenden!

Sind Sie bereit, Ihre Karriere auf das nächste Level zu heben? Alle Infos zu unseren Studiengängen im Hochschulbereich Wirtschaft & Management finden Sie auf fom.de.",79,197,unknown,https://i.ytimg.com/vi/L07U2182GNI/hqdefault.jpg,1,0
cr2RIwZ8c8w,UCdxxZI5F0u0l_wY8Bimsnow,FOM Hochschule,2024-05-27T09:18:39Z,https://www.youtube.com/watch?v=cr2RIwZ8c8w,Der FOM Hochschulbereich IT Management #fomhochschule #studium #berufsbegleitend #itmanagement,"Sie möchten die Digitalisierung aktiv mitgestalten? 

Die Studiengänge im Hochschulbereich IT Management der FOM Hochschule bereiten Sie auf eine Arbeitswelt vor, in der neue Technologien zunehmend an Bedeutungen gewinnen. Und zwar indem Sie Ihnen sowohl theoretisches Fachwissen als auch praktische Anwendungsmöglichkeiten vermitteln.

Sie lernen, wie Sie durch den Einsatz digitaler Technologien Produkte, Prozesse und die Zusammenarbeit in Unternehmen optimieren können. Dadurch qualifizieren Sie sich für zukunftsweisenden Fach- und Führungsaufgaben. 

Sie erhalten Einblicke in die entscheidenden Aspekte für die Planung, Steuerung und Kontrolle von IT-Systemen. Zum Beispiel in unserem Bachelor-Studiengang „Cyber Security”: Dort lernen Sie Sicherheitslücken zu identifizieren, Cyber-Attacken frühzeitig zu erkennen und erfolgreich abzuwenden. 

Sie möchten lernen, wie Sie KI in verschiedenen Unternehmensbereichen effektiv einsetzen können? Dann könnte unser Bachelor „Angewandte Künstliche Intelligenz” genau das Richtige für Sie sein.

Natürlich stehen Ihnen auch im Master-Bereich Studiengänge zur Auswahl, mit denen Sie ihr IT-Wissen vertiefen und sich weiter spezialisieren können.
Alle Studienabschlüsse der FOM sind staatlich und international anerkannt. Und das Beste: Sie können das erlernte Wissen direkt in der Praxis anwenden - und so einen echten Unterschied machen.

Also: Sind Sie bereit, die digitale Zukunft in Unternehmen mitzugestalten? Alle Infos zu unseren Studiengängen im Hochschulbereich IT Management finden Sie auf fom.de.",95,202,unknown,https://i.ytimg.com/vi/cr2RIwZ8c8w/hqdefault.jpg,1,0
TOwU1QSA2H8,UCdxxZI5F0u0l_wY8Bimsnow,FOM Hochschule,2024-05-27T09:15:38Z,https://www.youtube.com/watch?v=TOwU1QSA2H8,Der Hochschulbereich Ingenieurwesen der FOM! #fomhochschule #studium #berufsbegleitend,"Wenn es darum geht, neue Technologien oder innovative Produkte zu entwickeln, sind Ingenieurinnen und Ingenieure gefragt. 
Sie wollen Ihre Kompetenzen in den Bereichen Digitalisierung, Automatisierung und Künstlicher Intelligenz schärfen und effiziente Lösungen entwickeln? Werden Sie zur gefragten Fach- oder Führungskraft – mit einem berufs- oder ausbildungsbegleitenden Studium an der FOM Hochschule. 

Unsere praxisnahen Bachelor- und Master-Studiengänge im Hochschulbereich Ingenieurwesen vermitteln Ihnen technisches und betriebswirtschaftliches Know-how - und bereiten Sie auf die Arbeitswelt von morgen vor.

Erlangen Sie zum Beispiel im Bachelor „Maschinenbau & Digitale Technologien“ Fachwissen über digitale Fertigungsprozesse und treiben Sie technologische Fortschritte im Maschinenbau voran. Oder studieren Sie unseren Bachelor „Wirtschaftsingenieurwesen“ und werden Sie zum Problemlöser im Bereich Automatisierung, Nachhaltigkeit und IT-Sicherheit. Sie möchten Geschäftsprozesse digitalisieren und die Produktion von Unternehmen optimieren? Dann könnte unser Master „Wirtschaftsingenieurwesen” genau das Richtige für Sie sein. 

Wenden Sie Ihr Wissen aus den Vorlesungen direkt im Job an und starten Sie beruflich durch! 

Alle Infos zu unseren Studiengängen im Hochschulbereich Ingenieurwesen finden Sie auf fom.de",79,104,unknown,https://i.ytimg.com/vi/TOwU1QSA2H8/hqdefault.jpg,0,0
yOY5GaVnPOc,UCdxxZI5F0u0l_wY8Bimsnow,FOM Hochschule,2024-05-27T09:12:57Z,https://www.youtube.com/watch?v=yOY5GaVnPOc,Der FOM Hochschulbereich Gesundheit & Soziales #fomhochschule #studium #berufsbegleitend,"Wollen Sie das Gesundheitssystem von morgen aktiv mitgestalten? Oder möchten Sie sich mit einem Job im sozialen Bereich verwirklichen?

Das Gesundheits- und Sozialwesen bietet Ihnen jede Menge Jobperspektiven. Top-ausgebildete Fachkräfte sind hier gefragt wie nie! Denn auch die Aufgaben und Berufsfelder werden immer vielseitiger und anspruchsvoller.

Mit einem berufs- oder ausbildungsbegleitenden Studium an der FOM Hochschule ebnen Sie Ihren Weg für eine Karriere im Gesundheits- und Sozialbereich. 

Von Pflege über Soziale Arbeit bis hin zu Public Health oder Medizinmanagement: Der passende Bachelor- oder Master ist bestimmt für Sie dabei! Gestalten Sie den Wandel im Gesundheits- und Sozialwesen aktiv mit und machen Sie es digitaler, effizienter und zukunftsfähig! 

Egal, für welchen Studiengang Sie sich entscheiden: Alle Abschlüsse sind staatlich und international anerkannt. Und das Beste: Sie können das Wissen aus den Vorlesungen direkt im Job anwenden!

Sie wollen mehr erfahren? Alle Infos zu unseren Studiengängen im Hochschulbereich “Gesundheit & Soziales” finden Sie unter fom.de.",67,169,unknown,https://i.ytimg.com/vi/yOY5GaVnPOc/hqdefault.jpg,1,0
