yt_id,channel_id,channel_title,published_at,url,title,description,duration_seconds,views,language,thumbnail,likes,comment_count
y4O3kyLUX0Q,UCSoSuBd4s-xJWHxJfqQCuvQ,HFH-Fernstudium,2024-11-01T08:00:50Z,https://www.youtube.com/watch?v=y4O3kyLUX0Q,Vereinbarkeit für deinen Alltag: dein HFH-Fernstudium.,"Mit uns kannst du alle deine Ziele vereinbaren:

Mit mehr als 25 Jahren Erfahrung wissen wir als HFH · Hamburger Fern-Hochschule um die nötige Flexibilität eines berufsbegleitenden Fernstudiums, damit du Job, Familie und weitere Verpflichtungen bestmöglich miteinander vereinbaren kannst. 

Entdecke unsere staatlich anerkannten Bachelor- und Masterstudiengänge:
https://www.hfh-fernstudium.de/

Du möchtest nichts verpassen? Folge uns auf Social Media:
https://www.instagram.com/hfhfernstudium
https://www.facebook.com/HFHHamburgerFernHochschule
https://www.linkedin.com/school/hamburger-fern-hochschule",20,363,de-DE,https://i.ytimg.com/vi/y4O3kyLUX0Q/hqdefault.jpg,2,0
TupGD3v-sBY,UCSoSuBd4s-xJWHxJfqQCuvQ,HFH-Fernstudium,2024-11-01T08:00:30Z,https://www.youtube.com/watch?v=TupGD3v-sBY,Vereinbarkeit für deinen Alltag: dein HFH-Fernstudium.,"Mit uns kannst du alle deine Ziele vereinbaren:

Mit mehr als 25 Jahren Erfahrung wissen wir als HFH · Hamburger Fern-Hochschule um die nötige Flexibilität eines berufsbegleitenden Fernstudiums, damit du Job, Familie und weitere Verpflichtungen bestmöglich miteinander vereinbaren kannst. 

Entdecke unsere staatlich anerkannten Bachelor- und Masterstudiengänge:
https://www.hfh-fernstudium.de/

Du möchtest nichts verpassen? Folge uns auf Social Media:
https://www.instagram.com/hfhfernstudium
https://www.facebook.com/HFHHamburgerFernHochschule
https://www.linkedin.com/school/hamburger-fern-hochschule",20,267,de-DE,https://i.ytimg.com/vi/TupGD3v-sBY/hqdefault.jpg,0,0
bNIQoZoY_a4,UCSoSuBd4s-xJWHxJfqQCuvQ,HFH-Fernstudium,2024-10-29T12:31:01Z,https://www.youtube.com/watch?v=bNIQoZoY_a4,Vereinbarkeit für deinen Alltag: dein HFH-Fernstudium.,"Mit uns kannst du alle deine Ziele vereinbaren:

Mit mehr als 25 Jahren Erfahrung wissen wir als HFH · Hamburger Fern-Hochschule um die nötige Flexibilität eines berufsbegleitenden Fernstudiums, damit du Job, Familie und weitere Verpflichtungen bestmöglich miteinander vereinbaren kannst. 

Entdecke unsere staatlich anerkannten Bachelor- und Masterstudiengänge:
https://www.hfh-fernstudium.de/

Du möchtest nichts verpassen? Folge uns auf Social Media:
https://www.instagram.com/hfhfernstudium
https://www.facebook.com/HFHHamburgerFernHochschule
https://www.linkedin.com/school/hamburger-fern-hochschule",20,858,de-DE,https://i.ytimg.com/vi/bNIQoZoY_a4/hqdefault.jpg,4,0
IqT3PtHoV2U,UCSoSuBd4s-xJWHxJfqQCuvQ,HFH-Fernstudium,2024-10-24T06:14:52Z,https://www.youtube.com/watch?v=IqT3PtHoV2U,Kommen Sie an Bord der Hamburger Fern-Hochschule,"Werden Sie Teil des Teams: 

Die HFH · Hamburger Fern-Hochschule zählt mit ihren regionalen Studienzentren in Deutschland und Österreich zu den größten privaten Fernhochschulen.

Als gemeinnützige Hochschule ermöglichen wir Berufstätigen, Auszubildenden und Menschen mit familiären Verpflichtungen einen akademischen Abschluss. Wir sind einzigartig, denn als Teil eines Stiftungsverbundes zielen wir nicht auf maximale Gewinne ab, sondern auf maximale Chancengleichheit und Bildung für alle.

Unsere ausgeschriebenen Stellen und Antworten auf zentrale Fragen rund um den Bewerbungsprozess finden Sie hier:
https://www.hfh-fernstudium.de/fernhochschule-karriere 

Sie möchten nichts verpassen? Dann folgen Sie uns auf Social Media:
https://www.instagram.com/hfhfernstudium
https://www.facebook.com/HFHHamburgerFernHochschule
https://www.linkedin.com/school/hamburger-fern-hochschule",146,270,de-DE,https://i.ytimg.com/vi/IqT3PtHoV2U/hqdefault.jpg,5,0
U8oTZKIt1_g,UCSoSuBd4s-xJWHxJfqQCuvQ,HFH-Fernstudium,2024-10-02T09:05:28Z,https://www.youtube.com/watch?v=U8oTZKIt1_g,Studiere maximal flexibel: dein HFH-Fernstudium.,"Mit uns studierst du, wann und wo du möchtest:

Mit unserem flexiblen Studienkonzept vereinen wir an der HFH · Hamburger Fern-Hochschule Fernlehre mit Präsenzphasen, sodass du auch berufsbegleitend und neben weiteren Verpflichtungen deinen akademischen Wunschabschluss studieren kannst.

Entdecke unsere staatlich anerkannten Bachelor- und Masterstudiengänge:
https://www.hfh-fernstudium.de/

Du möchtest nichts verpassen? Folge uns auf Social Media:
https://www.instagram.com/hfhfernstudium
https://www.facebook.com/HFHHamburgerFernHochschule
https://www.linkedin.com/school/hamburger-fern-hochschule",19,531,de-DE,https://i.ytimg.com/vi/U8oTZKIt1_g/hqdefault.jpg,2,0
TUgJ6mkRgL0,UCSoSuBd4s-xJWHxJfqQCuvQ,HFH-Fernstudium,2024-10-02T09:03:47Z,https://www.youtube.com/watch?v=TUgJ6mkRgL0,Studiere maximal flexibel: dein HFH-Fernstudium.,"Mit uns studierst du, wann und wo du möchtest:

Mit unserem flexiblen Studienkonzept vereinen wir an der HFH · Hamburger Fern-Hochschule Fernlehre mit Präsenzphasen, sodass du auch berufsbegleitend und neben weiteren Verpflichtungen deinen akademischen Wunschabschluss studieren kannst.

Entdecke unsere staatlich anerkannten Bachelor- und Masterstudiengänge:
https://www.hfh-fernstudium.de/

Du möchtest nichts verpassen? Folge uns auf Social Media:
https://www.instagram.com/hfhfernstudium
https://www.facebook.com/HFHHamburgerFernHochschule
https://www.linkedin.com/school/hamburger-fern-hochschule",19,1934,de-DE,https://i.ytimg.com/vi/TUgJ6mkRgL0/hqdefault.jpg,1,0
RXuCpjbYvvg,UCSoSuBd4s-xJWHxJfqQCuvQ,HFH-Fernstudium,2024-10-02T09:02:29Z,https://www.youtube.com/watch?v=RXuCpjbYvvg,Studiere maximal flexibel: dein HFH-Fernstudium.,"Mit uns studierst du, wann und wo du möchtest:

Mit unserem flexiblen Studienkonzept vereinen wir an der HFH · Hamburger Fern-Hochschule Fernlehre mit Präsenzphasen, sodass du auch berufsbegleitend und neben weiteren Verpflichtungen deinen akademischen Wunschabschluss studieren kannst.

Entdecke unsere staatlich anerkannten Bachelor- und Masterstudiengänge:
https://www.hfh-fernstudium.de/

Du möchtest nichts verpassen? Folge uns auf Social Media:
https://www.instagram.com/hfhfernstudium
https://www.facebook.com/HFHHamburgerFernHochschule
https://www.linkedin.com/school/hamburger-fern-hochschule",19,1280,de-DE,https://i.ytimg.com/vi/RXuCpjbYvvg/hqdefault.jpg,2,0
vAArfph25OA,UCSoSuBd4s-xJWHxJfqQCuvQ,HFH-Fernstudium,2024-06-11T11:11:45Z,https://www.youtube.com/watch?v=vAArfph25OA,"100 Lebenswege, 1 Ziel: dein HFH-Fernstudium.","Mit unserem flexiblen Studienkonzept an der HFH · Hamburger Fern-Hochschule möchten wir allen die Chance auf eine akademische Weiterbildung ermöglichen – unabhängig davon, wie dein Alltag aussieht. Wir vereinen Fernlehre mit Präsenzphasen und bieten dir damit die Flexibilität neben Job, Familie und weiteren Verpflichtungen, die du möchtest.

Entdecke unsere staatlich anerkannten Bachelor- und Masterstudiengänge:
https://www.hfh-fernstudium.de/

Hier geht's direkt zur Anmeldung deines Wunschstudiums:
https://campus.hamburger-fh.de/bewerbung

Du möchtest nichts verpassen? Folge uns auf Social Media:
https://www.instagram.com/hfhfernstudium
https://www.facebook.com/HFHHamburgerFernHochschule
https://www.linkedin.com/school/hamburger-fern-hochschule",17,43536,de-DE,https://i.ytimg.com/vi/vAArfph25OA/hqdefault.jpg,14,0
mf-Sc5hUeDs,UCSoSuBd4s-xJWHxJfqQCuvQ,HFH-Fernstudium,2024-06-11T11:10:26Z,https://www.youtube.com/watch?v=mf-Sc5hUeDs,Flexibilität für deinen Alltag: dein Wunschstudium.,"Damit du deine Ziele erreichst:

Mit der HFH · Hamburger Fern-Hochschule behältst du die Flexibilität, die du für dein Fernstudium neben Job, Familie und weiteren Verpflichtungen möchtest.
Mit mehr als 25 Jahren Erfahrung vereinen wir Fernlehre mit Präsenzphasen. Damit ist das Fernstudium für Berufstätige und Auszubildende die Alternative zum klassischen Präsenzstudium.

Entdecke unsere staatlich anerkannten Bachelor- und Masterstudiengänge:
https://www.hfh-fernstudium.de/

Du möchtest nichts verpassen? Folge uns auf Social Media:
https://www.instagram.com/hfhfernstudium
https://www.facebook.com/HFHHamburgerFernHochschule
https://www.linkedin.com/school/hamburger-fern-hochschule",22,17745,de-DE,https://i.ytimg.com/vi/mf-Sc5hUeDs/hqdefault.jpg,7,0
57qKJ0wIEg4,UCSoSuBd4s-xJWHxJfqQCuvQ,HFH-Fernstudium,2024-05-29T07:59:01Z,https://www.youtube.com/watch?v=57qKJ0wIEg4,HFH-Absolvent:innenfeier 2024,"Ein Hoch auf unsere Absolvent:innen 2024: Über 300 Absolvent:innen aus unseren drei Fachbereichen haben mit uns ihren erfolgreichen Bachelor- und Masterabschluss an der HFH · Hamburger Fern-Hochschule gefeiert.

Lass dich von den Erfahrungen unserer Absolvent:innen und Studierenden inspirieren für dein Fernstudium:
https://www.hfh-fernstudium.de/erfahrungsberichte

Entdecke unsere staatlich anerkannten Bachelor- und Masterstudiengänge:
https://www.hfh-fernstudium.de/

Hier geht's zur Anmeldung deines Wunschstudiums: 
https://campus.hamburger-fh.de/bewerbung",122,629,de-DE,https://i.ytimg.com/vi/57qKJ0wIEg4/hqdefault.jpg,8,0
JqOwHeffRBc,UCSoSuBd4s-xJWHxJfqQCuvQ,HFH-Fernstudium,2024-03-21T09:33:46Z,https://www.youtube.com/watch?v=JqOwHeffRBc,Bachelor Wirtschaftsinformatik,"Warum lohnt es sich, zu Expert:innen der IT und der BWL zu werden? Was sind attraktive Berufsfelder? Unsere Studiengangsleitung Prof. Dr. Marco Waage gibt erste Einblicke in den Bachelor Wirtschaftsinformatik an der HFH · Hamburger Fern-Hochschule.

Zum kompletten Video und direkt zum Studiengang:
https://www.hfh-fernstudium.de/bachelor-wirtschaftsinformatik
#hfhkarriere #bachelorwirtschaftsinformatik #hfhfernstudium #fernstudium",45,91,de-DE,https://i.ytimg.com/vi/JqOwHeffRBc/hqdefault.jpg,2,0
36Zj5tBZFek,UCSoSuBd4s-xJWHxJfqQCuvQ,HFH-Fernstudium,2024-02-21T09:50:07Z,https://www.youtube.com/watch?v=36Zj5tBZFek,HFH Bachelor Wirtschaftsinformatik: Was erwartet mich?,"Warum lohnt es sich, zu Expert:innen der IT und der BWL zu werden? Was sind attraktive Berufsfelder?
Studiengangsleitung Prof. Dr. Marco Waage gibt erste Einblicke in inhaltliche Schwerpunkte, nimmt Sorgen vor Mathekursen und betont die branchenübergreifende Relevanz von Wirtschaftsinformatiker:innen.

Direkt zum Bachelor Wirtschaftsinformatik der HFH · Hamburger Fern-Hochschule:
https://www.hfh-fernstudium.de/bachelor-wirtschaftsinformatik

Direkt zur Anmeldung Ihres Wunschstudiums: 
https://campus.hamburger-fh.de/bewerbung",273,206,de-DE,https://i.ytimg.com/vi/36Zj5tBZFek/hqdefault.jpg,1,0
1dswoFs87bA,UCSoSuBd4s-xJWHxJfqQCuvQ,HFH-Fernstudium,2024-01-05T12:40:41Z,https://www.youtube.com/watch?v=1dswoFs87bA,Bachelor Soziale Arbeit,"Warum Soziale Arbeit studieren? Was sind mögliche berufliche Einsatzfelder? Unsere Studiengangsleitung Prof. Dr. Angela Schröder gibt erste Einblicke in den Bachelor Soziale Arbeit an der HFH · Hamburger Fern-Hochschule.

Das komplette Video findet ihr auf unserer Website:
https://www.hfh-fernstudium.de/bachelor-soziale-arbeit

#hfhkarriere #sozialearbeitstudieren #bachelorsozialearbeit #hfhfernstudium #fernstudium",41,267,de-DE,https://i.ytimg.com/vi/1dswoFs87bA/hqdefault.jpg,5,0
