yt_id,channel_id,channel_title,published_at,url,title,description,duration_seconds,views,language,thumbnail,likes,comment_count
ncug-J7-Rq0,UCq9E5LlsAWjzK5RkvhWUZKQ,Hochschule Fresenius,2024-07-31T14:11:09Z,https://www.youtube.com/watch?v=ncug-J7-Rq0,Open Campus & Standorttour Düsseldorf,"Wir haben für euch einen Recap zum Open Campus und eine „mini"" Standorttour am Campus in Düsseldorf erstellt. 🥰

Wenn ihr mehr zum Standort in Düsseldorf wissen wollt, dann findet ihr hier weitere Infos: https://www.hs-fresenius.de/standort/duesseldorf/?crmid=aEcQaAaDaAeAaAaA

#hsfresenius #frese #düsseldorf #campustour

Abonniere uns und bleibe im Kontakt: http://bit.ly/HSFresenius_YT​ 

Mehr Videos ⬇️
Erfahre mehr über die Frese-Family: http://bit.ly/FreseFamily_YT​​​​

Folge uns auf Social Media 🌏
➡️Instagram HSF Fernstudium: http://bit.ly/IG_hsfreseniusplus_YT​​​​​
➡️TikTok: http://bit.ly/TikTok_HSFresenius_YT​​​​​
➡️Instagram HSF Campus: http://bit.ly/IG_HSFCampus_YT
➡️Facebook: http://bit.ly/FB_hsfresenius_YT
➡️LinkedIn: https://bit.ly/in_hsfresenius_YT
➡️Xing: https://bit.ly/Xing_HSFresenius_YT​​​​",76,224,de,https://i.ytimg.com/vi/ncug-J7-Rq0/hqdefault.jpg,0,0
UvkEhEvRMGQ,UCq9E5LlsAWjzK5RkvhWUZKQ,Hochschule Fresenius,2024-07-03T06:16:00Z,https://www.youtube.com/watch?v=UvkEhEvRMGQ,Imagevideo - Fresenius University of Applied Sciences,"NEXT GENERATION UNIVERSITY. SINCE 1848.

For more than 175 years, we have been supporting people as they pursue their education and personal development. During your studies at Hochschule Fresenius, you will benefit from our experience, our passion for potential, and an excellent academic education.

You want to know more about us and our study programs?
Please check our website: https://www.hs-fresenius.com/?crmid=aEbQaAaDaAaAaGJaA",89,252,de,https://i.ytimg.com/vi/UvkEhEvRMGQ/hqdefault.jpg,2,0
gBHuHzpYkzI,UCq9E5LlsAWjzK5RkvhWUZKQ,Hochschule Fresenius,2024-07-03T06:12:42Z,https://www.youtube.com/watch?v=gBHuHzpYkzI,Our Campustour in Munich for you!,"When it comes to quality of life, Munich is always at the forefront – with various cultural offerings, plenty of relaxing green spaces, wonderful beer gardens, countless sights, and top-class sports (not just football). With all sorts of fun and quirky things to discover, it is impossible to get bored here. And if you need a break from the city, head for the region’s picturesque lakes and countryside, or go hiking and skiing in the Alps.

Check out our website to get to know our study programs in Cologne: https://www.hs-fresenius.com/location/munich/?crmid=aEbQaAaDaAaAaDWaA",237,183,de,https://i.ytimg.com/vi/gBHuHzpYkzI/hqdefault.jpg,3,0
7W9MBzWinQ0,UCq9E5LlsAWjzK5RkvhWUZKQ,Hochschule Fresenius,2024-07-03T06:10:16Z,https://www.youtube.com/watch?v=7W9MBzWinQ0,Our Campustour in Wiesbaden for you!,"Wide avenues, outstandingly preserved historic houses, numerous green oases, and the mild climate are essential features of the spa town Wiesbaden. Rheingau and Taunus regions invite you to charming excursions into nature. Wine lovers will get their money’s worth, as well as culture lovers, who will be delighted by the rich music, theater, and gallery offerings. If you take a closer look, you will also discover the interesting fashion designers in the city. Wiesbaden is in every respect a sophisticated city with a guaranteed feel-good factor.

Check out our website to get to know our study programs in Cologne: https://www.hs-fresenius.com/location/wiesbaden/?crmid=aEbQaAaDaAaAaGLaA",231,98,de,https://i.ytimg.com/vi/7W9MBzWinQ0/hqdefault.jpg,2,0
rj8nw9Q-Tbc,UCq9E5LlsAWjzK5RkvhWUZKQ,Hochschule Fresenius,2024-07-03T06:06:01Z,https://www.youtube.com/watch?v=rj8nw9Q-Tbc,Our Campustour in Hamburg for you!,"Hamburg is one of the most attractive cities in Germany. A lot of green and even more blue characterize the city, due to the high tree population, the open spaces, and the water. These colors symbolize the high quality of life. The different quarters with their unique character and charm make it a great place to live and to go out. From the Schanzenviertel to the Kiez, there are many opportunities to meet fellow students and get to know each other better. Striking and worth seeing places like the Michel, the Nikolai Church, the city hall, the Elbphilharmonie, the harbor with Speicherstadt or the fish market are a refreshing break from studying. Take a walk around the Binnenalster or the Waterkant to relax and unwind from the daily grind.

Check out our website to get to know our study programs in Cologne: https://www.hs-fresenius.com/location/hamburg/?crmid=aEbQaAaDaAaAaDNaA",219,151,de,https://i.ytimg.com/vi/rj8nw9Q-Tbc/hqdefault.jpg,6,0
9BPaPrEbO1k,UCq9E5LlsAWjzK5RkvhWUZKQ,Hochschule Fresenius,2024-07-03T06:02:59Z,https://www.youtube.com/watch?v=9BPaPrEbO1k,Our Campustour in Cologne for you!,"Life is never dull in this vibrant city, even when it isn’t full of carnival revelers – Cologne draws you in. Its long and eventful past is reflected in beautiful historic buildings such as the world-famous cathedral, the city hall, city walls, Romanesque churches, the “4711” building, and the modern architecture of the Rheinauhafen urban regeneration project. This tradition is matched equally by an innovative versatility, pioneering spirit, and wealth of ideas. If you need a little peace and quiet, visit one of the city’s many parks or let your mind drift as you stroll through the historic center or along the banks of the Rhine.

Check out our website to get to know our study programs in Cologne: https://www.hs-fresenius.com/location/cologne/?crmid=aEbQaAaDaAaAaDNaA",181,294,de,https://i.ytimg.com/vi/9BPaPrEbO1k/hqdefault.jpg,4,1
KwT9Ykrrgz8,UCq9E5LlsAWjzK5RkvhWUZKQ,Hochschule Fresenius,2024-07-03T05:56:46Z,https://www.youtube.com/watch?v=KwT9Ykrrgz8,Our Campustour in Berlin for you!,"Berlin has many faces, and is much more than just Germany’s capital and political center. This vibrant, cosmopolitan city is brimming with culture and has an incredibly diverse population. With hip districts for various tastes, countless parks and green spaces, an abundance of sports, a whole host of sights, and a great atmosphere, it won’t take you long to fall in love with Berlin. Our students come here to learn, and make the city their home.

Check our website for more information and study programs in Berlin: https://www.hs-fresenius.com/location/berlin/?crmid=aEbQaAaDaAaAaGIaA",162,166,de,https://i.ytimg.com/vi/KwT9Ykrrgz8/hqdefault.jpg,2,0
bH862hIuP0Q,UCq9E5LlsAWjzK5RkvhWUZKQ,Hochschule Fresenius,2024-07-02T09:01:08Z,https://www.youtube.com/watch?v=bH862hIuP0Q,Hochschule Fresenius x Heidelberg 📍,"Kennst du schon unseren Standort in Heidelberg? 🥰 Heidelberg ist eine super schöne Stadt und unser Campus hat auch viel zu bieten. 📍

Für mein Infos zu unseren Studiengängen in Heidelberg und der Stadt ➡️ https://www.hs-fresenius.de/standort/heidelberg/crmid=aEbQaAaDaAjAaEEaA

#hsfresenius #frese #heidelberg #studiereninheidelberg

Abonniere uns und bleibe im Kontakt: http://bit.ly/HSFresenius_YT​ 

Mehr Videos ⬇️
Erfahre mehr über die Frese-Family: http://bit.ly/FreseFamily_YT​​​​

Folge uns auf Social Media 🌏
➡️Instagram HSF Fernstudium: http://bit.ly/IG_hsfreseniusplus_YT​​​​​
➡️TikTok: http://bit.ly/TikTok_HSFresenius_YT​​​​​
➡️Instagram HSF Campus: http://bit.ly/IG_HSFCampus_YT
➡️Facebook: http://bit.ly/FB_hsfresenius_YT
➡️LinkedIn: https://bit.ly/in_hsfresenius_YT
➡️Xing: https://bit.ly/Xing_HSFresenius_YT​​​​",99,73,de,https://i.ytimg.com/vi/bH862hIuP0Q/hqdefault.jpg,1,0
eYC7M7LDEgU,UCq9E5LlsAWjzK5RkvhWUZKQ,Hochschule Fresenius,2024-07-01T14:07:03Z,https://www.youtube.com/watch?v=eYC7M7LDEgU,Was machst du nach dem Abi? 😳,"Wenn dir der passende Studiengang noch fehlt, dann schau unbedingt hier vorbei: https://www.hs-fresenius.de/pflichtangaben-und-links/?crmid=aEcQaAaDaAaAaAaA

#hsfresenius #frese #studium #studiengang #straßenumfragen

Abonniere uns und bleibe im Kontakt: http://bit.ly/HSFresenius_YT​ 

Mehr Videos ⬇️
Erfahre mehr über die Frese-Family: http://bit.ly/FreseFamily_YT​​​​

Folge uns auf Social Media 🌏
➡️Instagram HSF Fernstudium: http://bit.ly/IG_hsfreseniusplus_YT​​​​​
➡️TikTok: http://bit.ly/TikTok_HSFresenius_YT​​​​​
➡️Instagram HSF Campus: http://bit.ly/IG_HSFCampus_YT
➡️Facebook: http://bit.ly/FB_hsfresenius_YT
➡️LinkedIn: https://bit.ly/in_hsfresenius_YT
➡️Xing: https://bit.ly/Xing_HSFresenius_YT​​​​Hast du bei der Wahl deines Studiengangs darauf geachtet, später viel Geld zu verdienen? 🎤  

Wenn dir der passende Studiengang noch fehlt, dann schau unbedingt hier vorbei: https://www.hs-fresenius.de/pflichtangaben-und-links/?crmid=aEcQaAaDaAaAaAaA

#hsfresenius #frese #studium #studiengang #straßenumfragen

Abonniere uns und bleibe im Kontakt: http://bit.ly/HSFresenius_YT​ 

Mehr Videos ⬇️
Erfahre mehr über die Frese-Family: http://bit.ly/FreseFamily_YT​​​​

Folge uns auf Social Media 🌏
➡️Instagram HSF Fernstudium: http://bit.ly/IG_hsfreseniusplus_YT​​​​​
➡️TikTok: http://bit.ly/TikTok_HSFresenius_YT​​​​​
➡️Instagram HSF Campus: http://bit.ly/IG_HSFCampus_YT
➡️Facebook: http://bit.ly/FB_hsfresenius_YT
➡️LinkedIn: https://bit.ly/in_hsfresenius_YT
➡️Xing: https://bit.ly/Xing_HSFresenius_YT​​​​",25,17190,de,https://i.ytimg.com/vi/eYC7M7LDEgU/hqdefault.jpg,351,2
-Ye9BDXnZ9w,UCq9E5LlsAWjzK5RkvhWUZKQ,Hochschule Fresenius,2024-06-19T12:15:40Z,https://www.youtube.com/watch?v=-Ye9BDXnZ9w,"Weißt du schon, was du studieren willst? 🤔","Hast du bei der Wahl deines Studiengangs darauf geachtet, später viel Geld zu verdienen? 🎤  

Wenn dir der passende Studiengang noch fehlt, dann schau unbedingt hier vorbei: https://www.hs-fresenius.de/pflichtangaben-und-links/?crmid=aEcQaAaDaAaAaAaA

#hsfresenius #frese #studium #studiengang #straßenumfragen

Abonniere uns und bleibe im Kontakt: http://bit.ly/HSFresenius_YT​ 

Mehr Videos ⬇️
Erfahre mehr über die Frese-Family: http://bit.ly/FreseFamily_YT​​​​

Folge uns auf Social Media 🌏
➡️Instagram HSF Fernstudium: http://bit.ly/IG_hsfreseniusplus_YT​​​​​
➡️TikTok: http://bit.ly/TikTok_HSFresenius_YT​​​​​
➡️Instagram HSF Campus: http://bit.ly/IG_HSFCampus_YT
➡️Facebook: http://bit.ly/FB_hsfresenius_YT
➡️LinkedIn: https://bit.ly/in_hsfresenius_YT
➡️Xing: https://bit.ly/Xing_HSFresenius_YT​​​​",26,2227,de,https://i.ytimg.com/vi/-Ye9BDXnZ9w/hqdefault.jpg,17,0
