yt_id,channel_id,channel_title,published_at,url,title,description,duration_seconds,views,language,thumbnail,likes,comment_count
4DA_K6yP7ME,UCR4ZvrahpeSe1TBrmObSkSw,IU International,2024-11-22T09:00:05Z,https://www.youtube.com/watch?v=4DA_K6yP7ME,Work life balance in Germany  #internationalstudents,"Did you know that Germany offers one of the best ways to balance work and life? With a German degree, you have more chances of standing out in the job market! 
#studyingermany #studywithiu #internationaleducation #worklifebalance",40,688,en,https://i.ytimg.com/vi/4DA_K6yP7ME/hqdefault.jpg,24,2
rKmKmsXPCgM,UCR4ZvrahpeSe1TBrmObSkSw,IU International,2024-11-15T09:01:03Z,https://www.youtube.com/watch?v=rKmKmsXPCgM,AI in education #airevolution,Now is the right moment to make the most of what AI offers! Let's use AI to support our efforts in our studies by using it for personalization and optimization. #studyabroadingermany #aiineducation,50,639,en,https://i.ytimg.com/vi/rKmKmsXPCgM/hqdefault.jpg,8,0
e6Z8f4SSFPA,UCR4ZvrahpeSe1TBrmObSkSw,IU International,2024-11-08T09:00:44Z,https://www.youtube.com/watch?v=e6Z8f4SSFPA,Culture Clash - Ampelmann  #internationalstudents,"Rules are there for a reason! They make life easy, and also they help you cross the roads safely! Wait for the signal to turn Green to cross the road, it's that simple. :)

#germany #livingingermany #internationalstudents #rules #signal #roadsigns #followtherules",22,886,en,https://i.ytimg.com/vi/e6Z8f4SSFPA/hqdefault.jpg,17,0
6QPgiADWQrw,UCR4ZvrahpeSe1TBrmObSkSw,IU International,2024-11-01T09:00:09Z,https://www.youtube.com/watch?v=6QPgiADWQrw,Culture Clash : Daylight saving #internationalstudents,"Winter is here! It is daylight saving time in Europe again, when the time stands still for an hour, an essential international experience! 

#germany #livingingermany #internationalstudents #daylightsavings #wintertime",46,755,en,https://i.ytimg.com/vi/6QPgiADWQrw/hqdefault.jpg,17,2
X6C_NQKxipo,UCR4ZvrahpeSe1TBrmObSkSw,IU International,2024-10-25T08:00:19Z,https://www.youtube.com/watch?v=X6C_NQKxipo,Culture Clash - Postal Address  #internationalstudents,"What is the first thing one must do after moving to a new place? Register the correct postal address! That's an immensely important mode of communication in Germany!

#germany #livingingermany #internationalstudents #post #address #name",25,878,en,https://i.ytimg.com/vi/X6C_NQKxipo/hqdefault.jpg,10,2
-NuaoHq15sY,UCR4ZvrahpeSe1TBrmObSkSw,IU International,2024-10-18T08:00:00Z,https://www.youtube.com/watch?v=-NuaoHq15sY,Culture Clash - Name on the door  #internationalstudents,"In Germany, everyone's name must be displayed outside the building! What a surprising aspect of a society that values privacy so highly!

#germany #livingingermany #internationalstudents #doorbell #nameplate",29,927,en,https://i.ytimg.com/vi/-NuaoHq15sY/hqdefault.jpg,13,4
eDHbXhUxfiY,UCR4ZvrahpeSe1TBrmObSkSw,IU International,2024-10-11T08:00:34Z,https://www.youtube.com/watch?v=eDHbXhUxfiY,Culture Clash - Bike lanes #internationalstudents,"When walking on the sidewalks in Germany, make sure you are actually on the sidewalk and not in the bike lane! Otherwise, you might crash into a bicycle rider in the #fahrradweg! 

#germany #livingingermany #internationalstudents #fahrradweg #biking #studywithiu",27,1064,en,https://i.ytimg.com/vi/eDHbXhUxfiY/hqdefault.jpg,25,4
ThI-UL0vwhQ,UCR4ZvrahpeSe1TBrmObSkSw,IU International,2024-10-04T08:00:19Z,https://www.youtube.com/watch?v=ThI-UL0vwhQ,Culture Clash - Cash in Germany #internationalstudents,"Did you know that it is helpful to keep cash at hand when you are in Germany? Even if most stores accept card payments, you will definitely come across some restaurants or shops that only accept cash! 
#Germany #livingingermany #internationalstudents #studywithiu",25,1003,en,https://i.ytimg.com/vi/ThI-UL0vwhQ/hqdefault.jpg,13,0
X_KABf5_0HE,UCR4ZvrahpeSe1TBrmObSkSw,IU International,2024-09-13T08:00:41Z,https://www.youtube.com/watch?v=X_KABf5_0HE,Exploring Berlin with IU Student Parag,"Curious about what it’s like to study in Berlin? Meet Parag, an international student who has been living in Germany for a year. In this video, he takes us through a typical day, from heading to class to finding cool places to hang out. You’ll get a real sense of what international student life in Germany is like and how exciting it can be!

Berlin is a city with endless possibilities, especially for students. Parag shares his favorite spots for exploring Berlin as a student, including vibrant cafes and hidden markets. Along the way, he talks about his experiences in the city, from adjusting to life here to discovering its rich culture.

Time Stamps:  
0:00 Introduction 
0:17 Getting to know Parag
0:58 Moving to Berlin as an international student
2:28 Berlin public transport system
3:17 Studying at IU Berlin campus
5:12 Finding familiar food in Berlin
6:54 Tips and tricks for international students
9:28 Exploring Berlin by yourself
11:28 Finding your own version of Berlin

If you’re interested in studying abroad, this video will show you why Berlin is a top choice for students. From amazing cultural experiences in Berlin to building lasting friendships, there’s always something new to explore. Join us on this exciting journey through one of the most diverse cities in the world!

Planning to study in Germany? Please find out more about our programmes at IU International University and visit our website for more information and to start your application today: https://bit.ly/4avNOy8

Don't forget to follow us on social media: 
Instagram: https://www.instagram.com/iu.international/ 
Facebook: https://www.facebook.com/international.iu/  
LinkedIn: https://www.linkedin.com/company/iu-gmbh/",819,2110,en,https://i.ytimg.com/vi/X_KABf5_0HE/hqdefault.jpg,72,26
BQYmg1H3XzM,UCR4ZvrahpeSe1TBrmObSkSw,IU International,2024-09-06T09:35:58Z,https://www.youtube.com/watch?v=BQYmg1H3XzM,Student Summer Party 2024 | IU International University of Applied Sciences,"Watch as our wonderful student community embraces the Berlin summer, forming new friendships and creating unforgettable memories along the riverbank.  Set against the picturesque backdrop of the Spree, the event featured delicious food, refreshing drinks, and lively dance sessions that kept everyone entertained well into the evening.

Whether you were there or wish you had been, this video lets you experience the infectious enthusiasm and delightful moments shared by all. Enjoy the fun? Don’t forget to like, comment, and subscribe for more amazing events and glimpses into student life at IU International University of Applied Sciences!

Interested in studying in Germany? Please find out more about our programmes at IU International University and visit our website for more information and to start your application today: https://bit.ly/4avNOy8

Don't forget to follow us on social media: 
Instagram: https://www.instagram.com/iu.international/ 
Facebook: https://www.facebook.com/international.iu/  
LinkedIn: https://www.linkedin.com/company/iu-gmbh/",251,1691,en,https://i.ytimg.com/vi/BQYmg1H3XzM/hqdefault.jpg,43,10
