yt_id,channel_id,channel_title,published_at,url,title,description,duration_seconds,views,language,thumbnail,likes,comment_count
t3gc6hv_XhI,UC8X4NAyIUr9Q12hVUOoqyhQ,Technische Universität Braunschweig,2024-11-28T12:45:40Z,https://www.youtube.com/watch?v=t3gc6hv_XhI,Base Camp International Teaching: Keynote & Closing Remarks | 4.12.2024,"Teaching a course in English, internationalising the curriculum, educating students to become global citizens - the internationalisation of teaching presents a variety of challenges, both in the classroom and at the strategic and administrative level of university development.

On 3 and 4 December 2024, we warmly invite all members of TU Braunschweig who are committed to the internationalisation of teaching to join the discussion. Within the framework of the funding programme ""Strengthening and Expanding International Teaching"" (SAiL), participants will have the opportunity to engage in dialogue with experts, explore solution approaches, and discuss courses of action for internationalisation projects in courses, degree programmes, and departments. 

► More Information on the official Website: https://www.tu-braunschweig.de/en/projekthaus/labs/international-teaching-lab/services/base-camp-international-teaching",0,0,en,https://i.ytimg.com/vi/t3gc6hv_XhI/hqdefault_live.jpg,0,0
cEMjcALFOZY,UC8X4NAyIUr9Q12hVUOoqyhQ,Technische Universität Braunschweig,2024-11-28T12:40:03Z,https://www.youtube.com/watch?v=cEMjcALFOZY,Base Camp International Teaching: Keynote & Panel Discussion | 3.12.2024,"Teaching a course in English, internationalising the curriculum, educating students to become global citizens - the internationalisation of teaching presents a variety of challenges, both in the classroom and at the strategic and administrative level of university development.

On 3 and 4 December 2024, we warmly invite all members of TU Braunschweig who are committed to the internationalisation of teaching to join the discussion. Within the framework of the funding programme ""Strengthening and Expanding International Teaching"" (SAiL), participants will have the opportunity to engage in dialogue with experts, explore solution approaches, and discuss courses of action for internationalisation projects in courses, degree programmes, and departments.

► More Information on the official Website: https://www.tu-braunschweig.de/en/projekthaus/labs/international-teaching-lab/services/base-camp-international-teaching",0,0,en,https://i.ytimg.com/vi/cEMjcALFOZY/hqdefault_live.jpg,1,0
wYbgxSCjqIw,UC8X4NAyIUr9Q12hVUOoqyhQ,Technische Universität Braunschweig,2024-11-06T11:25:53Z,https://www.youtube.com/watch?v=wYbgxSCjqIw,SE²A: Shaping the future of aviation | Die Zukunft des Fliegens gestalten,"The Cluster of Excellence SE²A – Sustainable and Energy-Efficient Aviation at Technische Universität Braunschweig, with a team of 140 researchers in an innovative, international research network, is at the forefront of changing requirements and expectations for environmental protection and noise reduction in aviation. As air traffic continues to grow rapidly, the need for sustainable solutions is greater than ever.
SE²A is committed to a major revolution in the aviation system to significantly reduce emissions and ultimately minimise the climate impact of air travel for the next generation of flyers.

The film paints a picture of how the transition to a cleaner future for aviation can be shaped, taking into account environmental, economic and social criteria and future scenarios.

► More information (EN): https://www.tu-braunschweig.de/en/se2a

► Interviews, articles und press releases: https://magazin.tu-braunschweig.de/en/dossiers/focus-on-research-energy-system-transformation-in-aviation/

#aviation #tubraunschweig #sustainability

Der Exzellenzcluster SE²A – Sustainable and Energy-Efficient Aviation der Technischen Universität Braunschweig ist mit einem Team von 140 Forscherinnen und Forschern in einem innovativen, internationalen Forschungsverbund Vorreiter für die sich wandelnden Anforderungen und Erwartungen an Umweltschutz und Lärmminderung im Luftverkehr. Da der Luftverkehr weiterhin rasant wächst, ist der Bedarf an nachhaltigen Lösungen größer denn je. SE²A setzt sich für eine umfassende Revolution des Luftverkehrssystems ein, mit dem Ziel, die Emissionen deutlich zu reduzieren und letztlich die Klimaauswirkungen des Luftverkehrs für die nächste Generation des Fliegens zu minimieren.Der Film zeichnet ein Bild davon, wie der Übergang zu einer saubereren Zukunft der Luftfahrt unter Berücksichtigung ökologischer, ökonomischer und sozialer Kriterien und Zukunftsszenarien gestaltet werden kann.

► Weitere Informationen: https://www.tu-braunschweig.de/se2a► Exzellent erklärt (Podcast): https://exzellent-erklaert.podigee.io/8-neue-episode► Interviews, Artikel und Presseinformationen: https://magazin.tu-braunschweig.de/dossiers/se2a/",292,186,en,https://i.ytimg.com/vi/wYbgxSCjqIw/hqdefault.jpg,5,0
hAtUpVtLbsU,UC8X4NAyIUr9Q12hVUOoqyhQ,Technische Universität Braunschweig,2024-11-04T10:59:41Z,https://www.youtube.com/watch?v=hAtUpVtLbsU,Open ocean aquaculture: the future of seaweed farming,"🌊 Did you know that over half of the fish, seafood, and algae consumed worldwide already come from aquaculture? To meet rising demand, we need to look beyond coastal waters, which are increasingly impacted by shipping, tourism, and coastal development. 

🌍 This is where the international project ""Ngā Punga o te Moana - Anchoring Our Open Ocean Future"" comes in, with Technische Universität Braunschweig as partner. The goal? To shift aquaculture from crowded coastal regions to high-energy open ocean areas, some close to shore and others further offshore. 

💡 A multidisciplinary team of experts in hydraulic engineering, structural engineering, and marine biology is working together to develop innovative, production-efficient technologies that can thrive in these challenging environments. 

Prof Nils Goseberg, Henrik Neufeldt (both Leichtweiß Institute for Hydraulic Engineering and Water Resources), Dr Kevin Heasman (Cawthron Institute, New Zealand), Prof Arndt Hildebrandt (Blue C GmbH) and Prof Bela Buck (Alfred Wegener Institute) give an insight into the project and their research. 
-
🌊  Die Aquakultur ist der weltweit am schnellsten wachsende Lebensmittelsektor. Um der steigenden Nachfrage gerecht zu werden, sind Lösungen außerhalb der durch Schifffahrt, Tourismus und Ausbau von Küstenbauwerken stark belasteten Küstengewässer gefragt. 

🌍 Das internationale Verbundprojekt „Ngā Punga o te Moana – Anchoring Our Open Ocean Future“, an dem die Technische Universität Braunschweig beteiligt ist, setzt genau hier an. Es verfolgt das Ziel, die Aquakultur aus überlasteten Küstenregionen in offene, exponierte Offshore-Gebiete zu verlagern. 

💡 Expert*innen aus den Bereichen Wasserbau, Statik und Meeresbiologie arbeiten zusammen, um innovative Technologien zu entwickeln, die den extremen Bedingungen auf hoher See standhalten. 

Prof. Nils Goseberg, Henrik Neufeldt (beide Leichtweiß-Institut für Wasserbau), Dr. Kevin Heasman (Cawthron Institute, Neuseeland), Prof. Arndt Hildebrandt (Blue C GmbH) und Prof. Bela Buck (Alfred-Wegener-Institut) geben einen Einblick in das Projekt und ihre Forschung.

#aquaculture #openocean #tubraunschweig",291,232,de,https://i.ytimg.com/vi/hAtUpVtLbsU/hqdefault.jpg,4,0
MdNMWCe-Www,UC8X4NAyIUr9Q12hVUOoqyhQ,Technische Universität Braunschweig,2024-10-30T15:18:05Z,https://www.youtube.com/watch?v=MdNMWCe-Www,Transformation vorantreiben an der TU Braunschweig,"Einblicke in Enactus Braunschweig e.V. und das Social Innovation Program: Christian Stascheit, Koordinator Engagementprojekte und Co-Creation sowie SQM-Projekt „tu4society“ und Lukas Lerch von Enactus Braunschweig e.V. sprechen im 4LAB im Altgebäude der TU Braunschweig über Enactus, Soziale Innovationen, Engagement und das Social Innovation Program. 

► Weitere Infos: https://www.tu-braunschweig.de/transferservice/wissenstransfer/tu4society
 
#socialinnovation   #knowledgetransfer #tu4society #4lab #tubraunschweig #braunschweig #socialinnovationprogram #socialentrepreneurship #upcycling #sustainability #sustainabilitygoals #sustainablecity #collaboration #impact #socialimpact

Kamera und Schnitt: Connor McBriaty

© TU Braunschweig, 2024

Insights into Enactus Braunschweig e.V. and the Social Innovation Programme: Christian Stascheit, Coordinator Engagement Projects and Co-Creation and SQM project ‘tu4society’ and Lukas Lerch from Enactus Braunschweig e.V. talk about Enactus, social innovation, engagement and the Social Innovation Programme in the 4LAB in the old building of TU Braunschweig.

► Further information (EN): https://www.tu-braunschweig.de/en/transferservice/knowledge-transfer/tu4society

Camera and editing: Connor McBriaty
© TU Braunschweig, 2024",336,132,de,https://i.ytimg.com/vi/MdNMWCe-Www/hqdefault.jpg,2,0
Plu91Qr4Y-o,UC8X4NAyIUr9Q12hVUOoqyhQ,Technische Universität Braunschweig,2024-10-30T10:34:48Z,https://www.youtube.com/watch?v=Plu91Qr4Y-o,Erstsemesterbegrüßung 2024,"Bereits zum zwölften  Mal begrüßte die Technische Universität Braunschweig ihre Studienanfänger*innen im Eintracht Stadion Braunschweig. Am 14. Oktober 2024 feierten alle Erstsemester gemeinsam im Stadion den Start in ihr erstes Wintersemester. Die traditionelle Begrüßung durch die Präsidentin Professorin Angela Ittel ist in ein buntes Programm eingebettet. Im Anschluss an die zentrale Begrüßungsveranstaltung fand auf dem Zentralcampus die Infobörse „Studium ist mehr“ statt.

► Weitere Infos: https://magazin.tu-braunschweig.de/m-post/welcome-tu-braunschweig-begruesst-ihre-erstsemester/
► Die Erstsemesterbegrüßung in Bildern: https://magazin.tu-braunschweig.de/m-post/die-erstsemesterbegruessung-2024-in-bildern/
► Welcome Week: https://www.youtube.com/watch?v=XLiEujZQVtM

#students #tubraunschweig #internationalstudent 

For the twelfth time, Technische Universität Braunschweig welcomed its first-year students at Eintracht Stadion Braunschweig. On 14 October 2024, all first-year students celebrated the start of their first winter semester together in the stadium. The traditional welcome by President Professor Angela Ittel is embedded in a colourful programme. Following the central welcome event, the ‘Studying is more’ information fair took place on the central campus.


► More information (EN): https://magazin.tu-braunschweig.de/en/m-post/welcome-tu-braunschweig-welcomes-new-students/
► Reception for first-year students 2024 in pictures (EN): https://magazin.tu-braunschweig.de/en/m-post/the-2024-freshers-welcome-in-pictures/
► Welcome Week: https://www.youtube.com/watch?v=XLiEujZQVtM",97,511,de,https://i.ytimg.com/vi/Plu91Qr4Y-o/hqdefault.jpg,8,0
XLiEujZQVtM,UC8X4NAyIUr9Q12hVUOoqyhQ,Technische Universität Braunschweig,2024-10-22T12:15:05Z,https://www.youtube.com/watch?v=XLiEujZQVtM,Welcome Week 2024/25 for International Students,"#WelcomeToTUBraunschweig
🇩🇪 Zu Beginn jedes Semesters richtet das #InternationalHouse der #TUBraunschweig eine #WelcomeWeek für alle neuen internationalen Studierenden aus. 🤩 Die Woche ist eine hervorragende Gelegenheit, die Universität zu entdecken und neue Freundschaften zu schließen. Auch im Wintersemester 2024/25 bot die Welcome Week viele spannende Veranstaltungen – von Campustouren und Informationsveranstaltungen über Workshops bis hin zu Kennenlern-Events und einer Exkursion. 😊

Mehr Infos über den #InternationalStudentSupport an der TU Braunschweig findet Ihr hier: ▶ https://www.tu-braunschweig.de/international-student-support
------- 
🇬🇧 At the beginning of each semester, the #InternationalHouse of #TUBraunschweig hosts a #WelcomeWeek for all new international students. 🤩 The week is a fantastic opportunity to explore the university and make new friends. The Welcome Week for the winter semester 2024/25 once again offered many exciting events – from campus tours and information sessions to workshops, social gatherings, and an excursion. 😊

Find out more about the #InternationalStudentSupport at TU Braunschweig here: ▶ https://www.tu-braunschweig.de/en/international-student-support",100,179,de,https://i.ytimg.com/vi/XLiEujZQVtM/hqdefault.jpg,4,0
15XVxs_zYM8,UC8X4NAyIUr9Q12hVUOoqyhQ,Technische Universität Braunschweig,2024-10-22T11:38:21Z,https://www.youtube.com/watch?v=15XVxs_zYM8,Erklärt: Wie ein skaliertes Flugzeugmodell funktioniert | CLIME @ SE²A,"Das skalierte Flugzeugmodell CLIME ist das erste skalierte Flugzeugmodell der Technischen Universität Braunschweig. Das Modell, entwickelt im Exzellenzcluster SE²A zur nachhaltigen Luftfahrt, vereint verschiedene Technologien, um Energieverbrauch und Emissionen zu senken. Mehr Nachhaltigkeit beim Fliegen erreicht man, zum Beispiel, durch einen geringeren Treibstoffverbrauch. Der Treibstoff kann reduziert werden durch die Reduzierung des Luftwiderstandes. Wie man das erreichen kann, erklärt Dr. Christoph Bode vom Institut für Flugantriebe und Strömungsmaschinen der TU Braunschweig. 

Das Forschungsvorhaben „SE²A – Sustainable and Energy Efficient Aviation“ der TU Braunschweig beschäftigt sich bereits seit 2019 mit dem zukünftigen Luftverkehr und wie dieser effizient gestaltet werden kann. Im Projekt CLIME wurde dazu ein sogenanntes Scaled Flight Model (skaliertes Flugmodell) der SE²A-Mittelstrecken-Flugzeugkonfiguration entwickelt und in Faserverbundbauweise gefertigt. 


► Video zum CLIME-Projekt: https://youtu.be/chlhIxwRP6A
► Weitere Informationen zu CLIME: https://magazin.tu-braunschweig.de/pi-post/skaliertes-mittelstreckenflugzeug-erfolgreich-abgehoben/
► Weitere Informationen zum Cluster zur nachaltigen Luftfahrt: https://www.tu-braunschweig.de/se2a

#SE²A #SkaliertesModell  #Mittelstreckenflugzeug

The scaled aircraft model CLIME is the first scaled aircraft model of the Technische Universität Braunschweig. The model, developed in the SE²A Cluster of Excellence for sustainable aviation, combines various technologies to reduce energy consumption and emissions. More sustainable flying can be achieved, for example, through lower fuel consumption. Fuel can be reduced by reducing air resistance, as Dr Christoph Bode from the Institute of Aircraft Propulsion and Turbomachinery at TU Braunschweig explains.The ‘SE²A - Sustainable and Energy Efficient Aviation’ research project at TU Braunschweig has been looking at future air traffic and how it can be designed efficiently since 2019. In the CLIME project, a scaled flight model of the SE²A medium-haul aircraft configuration was developed and manufactured in fibre composite construction.",159,1636,de,https://i.ytimg.com/vi/15XVxs_zYM8/hqdefault.jpg,37,0
sEmA7hsY5ew,UC8X4NAyIUr9Q12hVUOoqyhQ,Technische Universität Braunschweig,2024-09-23T08:55:43Z,https://www.youtube.com/watch?v=sEmA7hsY5ew,"Kinder-Uni 2024 – Erklärvideo ""Was ist Ökologie?""","Auch in diesem Jahr findet die Kinder-Uni statt. Dieses Jahr mit dem Schwerpunktthema „Ökologie“. 

In diesem Erklärvideo wird in Vorbereitung auf die Vorlesung im Audimax der Begriff „Ökologie“ erklärt. Prof Dr. Robert Hänsch wird der Frage „Warum haben Bäume Stress“ mit den Juniorstudierenden am 16. November 2024 in der Vorlesung im Audimax nachgehen.Für die Anmeldung zur Kinder-Uni und weitere Informationen besuchen Sie gerne unsere Webseite. 

► Anmeldung: https://checkin.tu-braunschweig.de/kinderuni
► Mehr Infos: https://www.tu-braunschweig.de/kinderuni

#Kinderuni #kinder-uni #Wissenstransfer #tubraunschweig #braunschweig #ökologie #sustainabilitygoals #juniorstudierende

© Text, Gestaltung, Schnitt, Ton: but-design 
Redaktion: Dr. Saskia Frank, Wissenstransfer 2024",84,158,de,https://i.ytimg.com/vi/sEmA7hsY5ew/hqdefault.jpg,1,0
chlhIxwRP6A,UC8X4NAyIUr9Q12hVUOoqyhQ,Technische Universität Braunschweig,2024-08-28T22:00:28Z,https://www.youtube.com/watch?v=chlhIxwRP6A,Versuchsträger CLIME für skalierte Flugexperimente in SE²A,"In Peine bei Braunschweig konnten Wissenschaftler*innen das erste skalierte Flugzeugmodell der Technischen Universität Braunschweig demonstrieren. Eine weitere Besonderheit: Das Modell vereint verschiedene Technologien, um Energieverbrauch und Emissionen zu senken. Erstmalig konnte jetzt diese Konfiguration – etwa vorwärtsgepfeilte Tragflächen – im Zusammenspiel mit weiteren Flugzeugkomponenten getestet werden. 

Das Forschungsvorhaben „SE²A – Sustainable and Energy Efficient Aviation“ der TU Braunschweig beschäftigt sich bereits seit 2019 mit dem zukünftigen Luftverkehr und wie dieser effizient gestaltet werden kann. Im Projekt CLIME wurde dazu ein sogenanntes Scaled Flight Model (skaliertes Flugmodell) der SE²A-Mittelstrecken-Flugzeugkonfiguration entwickelt und in Faserverbundbauweise gefertigt. 

► Video: Wie ein skaliertes Flugzeugmodell funktioniert: https://youtu.be/15XVxs_zYM8

► Weitere Informationen zu CLIME: https://magazin.tu-braunschweig.de/pi-post/skaliertes-mittelstreckenflugzeug-erfolgreich-abgehoben/
► Weitere Informationen zum Cluster zur nachaltigen Luftfahrt: https://www.tu-braunschweig.de/se2a

#SE²A #SkaliertesModell  #Mittelstreckenflugzeug

In Peine near Braunschweig, scientists were able to demonstrate the first scaled aircraft model from the Technical University of Braunschweig. Another special feature: the model combines various technologies to reduce energy consumption and emissions. For the first time, this configuration - such as forward-swept wings - has now been tested in combination with other aircraft components. The ‘SE²A - Sustainable and Energy Efficient Aviation’ research project at TU Braunschweig has been looking at future air traffic and how it can be designed efficiently since 2019. In the CLIME project, a scaled flight model of the SE²A medium-haul aircraft configuration was developed and manufactured in fibre composite construction.",208,384,de,https://i.ytimg.com/vi/chlhIxwRP6A/hqdefault.jpg,10,0
