yt_id,channel_id,channel_title,published_at,url,title,description,duration_seconds,views,language,thumbnail,likes,comment_count
LsguLp4THiM,UCzg-z2TL0Ks4Efz5o0z7AxQ,Universität Göttingen,2024-11-28T16:00:30Z,https://www.youtube.com/watch?v=LsguLp4THiM,"Von neuronalen, sozialen und beruflichen Netzwerken | Wissen to listen - mit Viola Priesemann","Viola Priesemann ist Physik-Professorin an der Uni Göttingen und am Max-Planck-Institut für Dynamik und Selbstorganisation. Außerdem ist sie Netzwerkerin: Sie untersucht, wie neuronale Netzwerke im Gehirn lernen und denken. Ihre Erkenntnisse fließen in die Sonderausstellung „Herz und Hirn – gemeinsam verstehen“ im Forum Wissen ein. Während der Corona-Pandemie nutzte sie diese Expertise, um die Ausbreitung des Virus zu beschreiben.

Die Erkenntnisse aus der Corona-Forschung dienen ihr jetzt als Grundlage, um zu untersuchen, wie sich Falschinformationen in der Pandemie über die sozialen Netzwerke ausgebreitet haben. Darüber spricht sie in dieser Folge. Sie verrät auch, wie sie ihren Weg in die Physik gefunden hat, welche Bedeutung Netzwerke in der Wissenschaftscommunity haben. Viola Priesemann wünscht sich einen Kulturwandel im Umgang mit Frauen in der wissenschaftlichen Forschung.

""Wissen to listen"" ist der Podcast vom Forum Wissen, dem neuen Museum der Universität Göttingen. Im Gespräch mit Wissenschaftler*innen fragt unsere Podcasterin Eva Völker, wie Wissen entsteht. Was sind das für Prozesse, in denen Wissen geschaffen wird? Welche Menschen sind daran beteiligt? Wie ticken sie? Was treibt sie an? Was fasziniert sie an ihrer Arbeit? Was ist vielleicht manchmal mühsam? Alle zwei Monate erscheint eine neue Folge. 
Und hier geht’s zur Website des Forum Wissen: https://www.forum-wissen.de/.

#unigöttingen #forumwissen #podcast",2251,39,de,https://i.ytimg.com/vi/LsguLp4THiM/hqdefault.jpg,2,0
OFW4tiNvTOI,UCzg-z2TL0Ks4Efz5o0z7AxQ,Universität Göttingen,2024-11-27T17:00:47Z,https://www.youtube.com/watch?v=OFW4tiNvTOI,Kolonialismus und koloniale Gewalt sichtbar machen | Wissen to listen - mit Mikael Assilkinga,"Mikael Assilkinga ist Gastwissenschaftler aus Kamerun im Projekt “Sensible Provenienzen” der Universität Göttingen. Zusammen mit Kolleg*innen aus anderen ehemaligen Kolonien untersucht er die Herkunft von Human Remains, menschlichen Überresten, die sich in Sammlungen der Uni Göttingen befinden. Die meisten von ihnen wurden gegen den Willen der einheimischen Bevölkerung entwendet. 

Mikael Assilkinga spricht darüber, warum es so wichtig ist, den Kolonialismus und die Gewalt, die den kolonisierten Menschen angetan wurde, sichtbar zu machen. Aus dem Projekt ist eine digitale Ausstellung entstanden mit dem Titel “Unpacking Colonialism”. Sie liefert erste Antworten aus der Perspektive der fünf Gastwissenschaftler*innen aus verschiedenen Herkunftsgesellschaften der Human Remains.

""Wissen to listen"" ist der Podcast vom Forum Wissen, dem neuen Museum der Universität Göttingen. Im Gespräch mit Wissenschaftler*innen fragt unsere Podcasterin Eva Völker, wie Wissen entsteht. Was sind das für Prozesse, in denen Wissen geschaffen wird? Welche Menschen sind daran beteiligt? Wie ticken sie? Was treibt sie an? Was fasziniert sie an ihrer Arbeit? Was ist vielleicht manchmal mühsam? Alle zwei Monate erscheint eine neue Folge. 
Und hier geht’s zur Website des Forum Wissen: https://www.forum-wissen.de/.

#unigöttingen #forumwissen #podcast",2475,105,de,https://i.ytimg.com/vi/OFW4tiNvTOI/hqdefault.jpg,3,0
MujEB5uUxN0,UCzg-z2TL0Ks4Efz5o0z7AxQ,Universität Göttingen,2024-11-26T07:22:26Z,https://www.youtube.com/watch?v=MujEB5uUxN0,"""Wahrheit, Anerkennung, Gerechtigkeit."" - Trott-Lecture 2024","""Wahrheit, Anerkennung, Gerechtigkeit. Reflexionen zur Opferperspektive in Verfahren am Internationalen Strafgerichtshof"" lautet der Titel der diesjährigen Adam-von-Trott-Lecture am Montag, 25. November 2024, im Adam-von-Trott-Saal am Wilhelmsplatz 3 an der Universität Göttingen. Beginn ist um 19 Uhr.Prof. Dr. Bertram Schmitt ist Jurist und Rechtswissenschaftler. Er wurde 2005 Richter am Bundesgerichtshof und war von 2015 bis 2024 Richter am Internationalen Strafgerichtshof in Den Haag. Der Vortrag gibt einen Einblick in die Realität von Verfahren am IStGH. Er legt den Schwerpunkt auf die Perspektive der Opfer von Kriegsverbrechen und Verbrechen gegen die Menschlichkeit. Die Lecture befasst sich zum einen mit Opfern, die im Verfahren als Zeuginnen und Zeugen auftreten, mit ihren Erwartungen an Wahrheit, Anerkennung und Gerechtigkeit. Zum anderen geht sie der Frage nach, inwieweit die Opfergemeinschaften in den betroffenen Ländern ein Strafverfahren im fernen Den Haag als sinnvollen Beitrag zur Gerechtigkeit und Aufarbeitung gewalttätiger Konflikte betrachten und welchen Beitrag der IStGH hierzu leisten kann.",4610,195,de,https://i.ytimg.com/vi/MujEB5uUxN0/hqdefault.jpg,12,0
aN-sbZnTIQc,UCzg-z2TL0Ks4Efz5o0z7AxQ,Universität Göttingen,2024-11-22T16:00:01Z,https://www.youtube.com/watch?v=aN-sbZnTIQc,Sozialer Zusammenhalt. Zur Inzidenz lokaler Lebenswelten | Ringvorlesung,"Prof. Dr. Everhard Holtmann (Universität Halle-Wittenberg; FGZ) spricht im Rahmen der öffentlichen Ringvorlesung ""Gesellschaftlicher Zusammenhalt"" an der Universität Göttingen. Die Veranstaltung fand am 19. November 2024 in der Aula am Wilhelmsplatz statt.

Die Gestaltung gesellschaftlichen Zusammenhalts ist eine zentrale Herausforderung unserer Zeit. Welche Kräfte wirken auf die sozialen Beziehungen, auf das demokratische Gemeinwesen, auf die institutionelle Architektur einer pluralen Gesellschaft ein? Was hält im Angesicht von Pandemie, Krieg und Klimakatastrophe moderne Gesellschaften zusammen, was trennt sie? Und wie viel Zusammenhalt benötigt, aber erträgt auch eine freie Gesellschaft? In der Ringvorlesung Gesellschaftlicher Zusammenhalt werden aus unterschiedlichen disziplinären Perspektiven zentrale Zukunftsfragen der gesellschaftlichen Entwicklung diskutiert, eingeordnet und wissenschaftlich bewertet. 

Die öffentliche Ringvorlesung wird gemeinsam mit der Akademie der Wissenschaften zu Göttingen organisiert und vom Universitätsbund Göttingen e.V. unterstützt. Die Vortragsreihe greift ein breites Spektrum an Fragestellungen für die Gestaltung des Zusammenhalts auf: die Rolle der öffentlichen Hand, die Relevanz der Arbeit, der Religion, der Migration, der Demographie, der Politik und der Parteien; aber auch Fragen nach der konkreten Gestaltung sozialer Kohäsion – in Stadt und Land, Ost und West sowie unterschiedlichen sozialen Lagen. Wenn wir über sozialen Zusammenhalt sprechen, dann reden wir aus je unterschiedlicher Perspektive über die Zukunft unserer Gesellschaft. Dass diese durch Extremismus und autoritäre Radikalisierung bedroht wird, verstärkt nur die Notwendigkeit der öffentlichen Auseinandersetzung über Art und Weise, Gestalt und Gestaltung des Zusammenhalts. 

Weitere Informationen unter https://www.uni-goettingen.de/de/6907....

 #unigöttingen #gesellschaft  #zusammenhalt",4040,218,de,https://i.ytimg.com/vi/aN-sbZnTIQc/hqdefault.jpg,6,0
DhsQAMS-xkI,UCzg-z2TL0Ks4Efz5o0z7AxQ,Universität Göttingen,2024-11-18T16:00:21Z,https://www.youtube.com/watch?v=DhsQAMS-xkI,"Spaltpilz ""Migrationsdebatte"" | Migration und autoritäre Transformation europäischer Gesellschaften","Prof. Dr. Sabine Hess (Universität Göttingen) spricht im Rahmen der öffentlichen Ringvorlesung ""Gesellschaftlicher Zusammenhalt"" an der Universität Göttingen. Die Veranstaltung fand am 11. November 2024 in der Aula am Wilhelmsplatz statt.

Die Gestaltung gesellschaftlichen Zusammenhalts ist eine zentrale Herausforderung unserer Zeit. Welche Kräfte wirken auf die sozialen Beziehungen, auf das demokratische Gemeinwesen, auf die institutionelle Architektur einer pluralen Gesellschaft ein? Was hält im Angesicht von Pandemie, Krieg und Klimakatastrophe moderne Gesellschaften zusammen, was trennt sie? Und wie viel Zusammenhalt benötigt, aber erträgt auch eine freie Gesellschaft? In der Ringvorlesung Gesellschaftlicher Zusammenhalt werden aus unterschiedlichen disziplinären Perspektiven zentrale Zukunftsfragen der gesellschaftlichen Entwicklung diskutiert, eingeordnet und wissenschaftlich bewertet. 

Die öffentliche Ringvorlesung wird gemeinsam mit der Akademie der Wissenschaften zu Göttingen organisiert und vom Universitätsbund Göttingen e.V. unterstützt. Die Vortragsreihe greift ein breites Spektrum an Fragestellungen für die Gestaltung des Zusammenhalts auf: die Rolle der öffentlichen Hand, die Relevanz der Arbeit, der Religion, der Migration, der Demographie, der Politik und der Parteien; aber auch Fragen nach der konkreten Gestaltung sozialer Kohäsion – in Stadt und Land, Ost und West sowie unterschiedlichen sozialen Lagen. Wenn wir über sozialen Zusammenhalt sprechen, dann reden wir aus je unterschiedlicher Perspektive über die Zukunft unserer Gesellschaft. Dass diese durch Extremismus und autoritäre Radikalisierung bedroht wird, verstärkt nur die Notwendigkeit der öffentlichen Auseinandersetzung über Art und Weise, Gestalt und Gestaltung des Zusammenhalts. 

Weitere Informationen unter https://www.uni-goettingen.de/de/690750.html.

 #unigöttingen #gesellschaft  #zusammenhalt",2319,257,de,https://i.ytimg.com/vi/DhsQAMS-xkI/hqdefault.jpg,13,0
q8OoxV27xT4,UCzg-z2TL0Ks4Efz5o0z7AxQ,Universität Göttingen,2024-11-17T16:00:41Z,https://www.youtube.com/watch?v=q8OoxV27xT4,Me-You-Us. Social Relationships in Humans and other Primates,"Humans are social beings. We have diverse social relationships, learn from others and come together in groups. In this respect, we are not so different from our closest relatives, the apes. The special exhibition “I-You-We. Social Relationships in Humans and Other Primates” explored the question of how social relationships in humans and other primates are developed at a young age and later regulated and what function these relationships have. The exhibition was on display from April 25 to November 3, 2024 at the University of Göttingen's Forum Wissen. The curators Valerie Liebs and Gabriella Szalay provide entertaining insights into the exhibition.

This is a project of the interdisciplinary DFG Research Training Group 'Understanding Social Relationships' of the University of Göttingen and the German Primate Center in cooperation with the Forum Wissen. The publication accompanying the exhibition provides even more background information. The exhibition catalog 'Ich-Du-Wir. Social Relationships in Humans and Other Primates' is available in the Forum Wissen store and online at https://univerlag.uni-goettingen.de/handle/3/isbn-978-3-86395-628-8.

Menschen sind soziale Wesen. Wir haben vielfältige Sozialbeziehungen, lernen von anderen und finden uns in Gruppen zusammen. Darin unterscheiden wir uns nicht so sehr von unseren nächsten Verwandten, den Affen. Die Sonderausstellung „Ich-Du-Wir. Soziale Beziehungen bei Menschen und anderen Primaten“ ging der Frage nach, wie soziale Beziehungen bei Menschen und anderen Primaten in jungen Jahren entwickelt und später geregelt werden und welche Funktion diese Beziehungen haben. Die Ausstellung war vom 25. April bis 3. November 2024 im Forum Wissen der Universität Göttingen zu sehen. 

Die Kuratorinnen Valerie Liebs und Gabriella Szalay geben unterhaltsame Einblicke in die Ausstellung. Diese ist ein Projekt des interdisziplinären DFG-Graduiertenkollegs „Verstehen von Sozialbeziehungen“ von Universität Göttingen und Deutschem Primatenzentrum in Zusammenarbeit mit dem Forum Wissen. Noch mehr Hintergründe liefert die Publikation zur Ausstellung. Den Ausstellungskatalog „Ich-Du-Wir. Sozialbeziehungen bei Menschen und anderen Primaten“ gibt es im Forum Wissen-Shop und online unter https://univerlag.uni-goettingen.de/handle/3/isbn-978-3-86395-628-8.

#unigöttingen #forumwissen",795,104,en,https://i.ytimg.com/vi/q8OoxV27xT4/hqdefault.jpg,3,0
MUQ4JhT4AgU,UCzg-z2TL0Ks4Efz5o0z7AxQ,Universität Göttingen,2024-11-14T16:00:18Z,https://www.youtube.com/watch?v=MUQ4JhT4AgU,Wie digitalisiert man Wälder und wozu? Wissen to listen - mit Waldforscher Dominik Seidel,"Dominik Seidel ist Professor für Raumstrukturen und Digitalisierung von Wäldern an der Universität Göttingen. Er spricht darüber, wie er mit 3-D-Lasertechnologie digitale Kopien von Bäumen erstellt, um Dürreschäden sichtbar zu machen. Wozu soll das gut sein? Wie könnte die Digitalisierung die Waldwirtschaft der Zukunft verändern? Wo liegen die Chancen, aber auch die Grenzen der Technologie?

""Wissen to listen"" ist der Podcast vom Forum Wissen, dem neuen Museum der Universität Göttingen. Im Gespräch mit Wissenschaftler*innen fragt unsere Podcasterin Eva Völker, wie Wissen entsteht. Was sind das für Prozesse, in denen Wissen geschaffen wird? Welche Menschen sind daran beteiligt? Wie ticken sie? Was treibt sie an? Was fasziniert sie an ihrer Arbeit? Was ist vielleicht manchmal mühsam? Alle zwei Monate erscheint eine neue Folge. 
Und hier geht’s zur Website des Forum Wissen: https://www.forum-wissen.de/.

#unigöttingen #forumwissen #podcast",3021,111,de,https://i.ytimg.com/vi/MUQ4JhT4AgU/hqdefault.jpg,5,0
gb9sztdfDLI,UCzg-z2TL0Ks4Efz5o0z7AxQ,Universität Göttingen,2024-11-12T10:44:35Z,https://www.youtube.com/watch?v=gb9sztdfDLI,Zumutung Zusammenhalt?! Ringvorlesung,"Prof. Dr. Berthold Vogel (Soziologisches Forschungsinstitut Göttingen) spricht im Rahmen der öffentlichen Ringvorlesung ""Gesellschaftlicher Zusammenhalt"" an der Universität Göttingen. Die Veranstaltung fand am 5. November 2024 in der Aula am Wilhelmsplatz statt.

Die Gestaltung gesellschaftlichen Zusammenhalts ist eine zentrale Herausforderung unserer Zeit. Welche Kräfte wirken auf die sozialen Beziehungen, auf das demokratische Gemeinwesen, auf die institutionelle Architektur einer pluralen Gesellschaft ein? Was hält im Angesicht von Pandemie, Krieg und Klimakatastrophe moderne Gesellschaften zusammen, was trennt sie? Und wie viel Zusammenhalt benötigt, aber erträgt auch eine freie Gesellschaft? In der Ringvorlesung Gesellschaftlicher Zusammenhalt werden aus unterschiedlichen disziplinären Perspektiven zentrale Zukunftsfragen der gesellschaftlichen Entwicklung diskutiert, eingeordnet und wissenschaftlich bewertet. 


Die öffentliche Ringvorlesung wird gemeinsam mit der Akademie der Wissenschaften zu Göttingen organisiert und vom Universitätsbund Göttingen e.V. unterstützt. Die Vortragsreihe greift ein breites Spektrum an Fragestellungen für die Gestaltung des Zusammenhalts auf: die Rolle der öffentlichen Hand, die Relevanz der Arbeit, der Religion, der Migration, der Demographie, der Politik und der Parteien; aber auch Fragen nach der konkreten Gestaltung sozialer Kohäsion – in Stadt und Land, Ost und West sowie unterschiedlichen sozialen Lagen. Wenn wir über sozialen Zusammenhalt sprechen, dann reden wir aus je unterschiedlicher Perspektive über die Zukunft unserer Gesellschaft. Dass diese durch Extremismus und autoritäre Radikalisierung bedroht wird, verstärkt nur die Notwendigkeit der öffentlichen Auseinandersetzung über Art und Weise, Gestalt und Gestaltung des Zusammenhalts. 

Weitere Informationen unter https://www.uni-goettingen.de/de/690750.html 

#unigöttingen #gesellschaft #zusammenhalt",3679,382,de,https://i.ytimg.com/vi/gb9sztdfDLI/hqdefault.jpg,13,0
PKsGZ5mS8-Q,UCzg-z2TL0Ks4Efz5o0z7AxQ,Universität Göttingen,2024-11-06T16:00:31Z,https://www.youtube.com/watch?v=PKsGZ5mS8-Q,Unsere fantastische Reise durchs Forum Wissen | Trickfilmwoche für Kinder,"In den Herbstferien haben Kinder zwischen 8 und 12 Jahren eine Woche lang im Forum Wissen verbracht, dabei unterschiedliche Trickfilm- und Animationstechniken kennengelernt und auch ausprobiert. Mit den Apps „Stop-Motion Studio“ und „FlipaClip“ haben sie Fantasiegeschichten zu den Räumen des Wissens erzählt: Das Labor spielt verrückt und wie von Geisterhand füllen sich die Kolben mit einer undefinierbaren Flüssigkeit, in der Werkstatt verbringen die Museumsmäuse den Abend bei einem prallgefüllten Dinner und reisende Außerirdische kapern den Raum Schränke. Die Kinder konnten sich somit auf kreative Art und Weise mit den Inhalten und Themen der Basisausstellung im Wissensmuseum der Universität Göttingen beschäftigen. Sie haben Fragestellungen selbst erarbeitet und weitergedacht sowie schlussendlich ihre eigene Sichtweise visualisiert. Ausgangspunkt war stets sich zu überlegen, was passieren könnte, wenn die Türen des Museums abends schließen und die Museumsdinge unbeobachtet ein rauschendes Eigenleben entwickeln. Am Ende entstand ein vollständiger Film von 17 Minuten. Dabei waren die Kinder an allen Arbeitsschritten beteiligt: Erstellen von Intro und Outro, Schnitt und Vertonung, Themen und Inhalte, Zwischenschnitte und Übergänge. Toll, dass ihr alle mitgemacht habt!

During the fall break, children between the ages of 8 and 12 spent a week at Forum Wissen learning about and trying out different animation techniques. Using the apps ""Stop-Motion Studio"" and ""FlipaClip"", they told fantasy stories about the spaces of knowledge: The laboratory goes crazy and, as if by magic, the flasks fill up with an indefinable liquid, in the workshop the museum mice spend the evening at a bursting dinner and traveling aliens hijack the room cupboards. The children were thus able to engage creatively with the content and themes of the basic exhibition in the Forum Wissen, working out and developing questions themselves and ultimately visualizing their own views. The starting point was always to think about what could happen when the doors of the museum close in the evening and the museum objects develop a noisy life of their own unobserved. In the end, a complete film of 17 minutes was created, in which the children were involved in every step of the process: Creating the intro and outro, editing and soundtrack, themes and content, intercuts and transitions. It was great that you all took part!

Projektbeteiligte Forum Wissen:
Florian Winkler (Referent Bildung & Vermittlung)Nastasia Schmidt (Kommunikator*in Bildung & Vermittlung)Andrea Winter (Medienpädagogin)Hanna Vasilevich (Kommunikator*in)
Beteiligte Kinder:
Ole (8), Lasse (8), Olivia (10), Alma (10), Jonathan (10), Torian (10), Kilian (8), Mathilda (10), Ella (10), Jakob (12), Luise (10)

Mehr Information: https://www.forum-wissen.de/blog/

#unigöttingen #forumwissen",1038,234,de,https://i.ytimg.com/vi/PKsGZ5mS8-Q/hqdefault.jpg,6,1
QHrM5E2q6G4,UCzg-z2TL0Ks4Efz5o0z7AxQ,Universität Göttingen,2024-10-21T16:09:52Z,https://www.youtube.com/watch?v=QHrM5E2q6G4,Willkommen an der Uni Göttingen: Immatrikulationsfeier 2024,"Mit einer feierlichen Veranstaltung begrüßen Universität, Stadt und das Studierendenwerk Göttingen alle neu eingeschriebenen Studierenden an der Georg-August-Universität Göttingen. Die Immatrikulationsfeier findet am Montag, 21. Oktober 2024, um 16.30 Uhr im Zentralen Hörsaalgebäude statt. Wichtige Informationen zum Studienbeginn gibt es darüber hinaus hier https://www.uni-goettingen.de/de/41236.html.

#unigöttingen",5161,1157,de,https://i.ytimg.com/vi/QHrM5E2q6G4/hqdefault.jpg,24,0
