yt_id,channel_id,channel_title,published_at,url,title,description,duration_seconds,views,language,thumbnail,likes,comment_count
4WHd47BU2MY,UCbVtIjTIrNYqozDxIJPjHHw,Universität Oldenburg,2024-11-27T15:17:54Z,https://www.youtube.com/watch?v=4WHd47BU2MY,"50 Jahre, 50 Menschen: Ralph Bruder | Universität Oldenburg","Präsident der Universität Oldenburg
Präsidium
An der Universität seit: 2021",120,74,de-DE,https://i.ytimg.com/vi/4WHd47BU2MY/hqdefault.jpg,2,0
3o6PuYMZ0sQ,UCbVtIjTIrNYqozDxIJPjHHw,Universität Oldenburg,2024-11-26T14:04:04Z,https://www.youtube.com/watch?v=3o6PuYMZ0sQ,Analyse des globalen Kohlenstoffkreislaufs für biogeochemische Klimamodelle | Universität Oldenburg,"Prof. Dr. Sinikka Lennartz lehrt und forscht seit 2022 als Juniorprofessorin für Biogeochemische Ozeanmodellierung am Institut für Chemie und Biologie des Meeres. Sie fokussiert sich auf die Analyse des globalen Kohlenstoffkreislaufs und hier insbesondere auf das im Wasser gelöste organische Material als Kohlenstoffspeicher. Dazu fasst sie experimentelle Daten in mathematische Gleichungen, die in globale biogeochemische Klimamodelle einfließen. Lennartz erhält die Auszeichnung für ihre innovative Forschung, die dazu geführt hat, jahrzehntealte Annahmen über den im Meer gelösten organischen Kohlenstoff zu widerlegen. Dieser scheint sensibler auf Umweltveränderungen zu reagieren als zuvor angenommen. 

🇬🇧 Prof. Dr Sinikka Lennartz has been serving as Junior Professor of Biogeochemical Ocean Modelling at the Institute for Chemistry and Biology of the Marine Environment since 2022. Her work focuses on analysing the global carbon cycle, in particular on organic substances dissolved in seawater and their role in carbon sequestration. She translates chemical and biological processes into mathematical equations that are incorporated into global biogeochemical ocean models. Lennartz receives the prize in recognition of her innovative research, which has challenged decades-old assumptions about the organic carbon dissolved in the ocean and provided evidence that this natural carbon reservoir reacts more sensitively to environmental changes than previously thought.",111,19,de-DE,https://i.ytimg.com/vi/3o6PuYMZ0sQ/hqdefault.jpg,1,0
1t-xgWbpSTI,UCbVtIjTIrNYqozDxIJPjHHw,Universität Oldenburg,2024-11-25T11:26:18Z,https://www.youtube.com/watch?v=1t-xgWbpSTI,Auftakt 24/25  Über gesellschaftliche Erwartungen an die Wissenschaft | Universität Oldenburg,"Im Dezember 2023 markierte die traditionelle Veranstaltung „Auftakt“ den Start ins 50.Jubiläumsjahr der Universität Oldenburg. Am 14. November 2024 haben Universität und Universitätsgesellschaft Oldenburg (UGO) gemeinsam mit rund 800 geladenen Gästen das Ende dieses besonderen Jahres beim feierlichen „Auftakt 24/25“ eingeläutet. Festredner war der Münchener Soziologe und gefragte Gegenwartsanalytiker Prof. Dr. Armin Nassehi. Er sprach über die aktuellen gesellschaftlichen Erwartungen an die Wissenschaft – und darüber, warum diese Erwartungen häufig enttäuscht werden. „Wissenschaftliches Wissen lässt sich nicht einfach in Bereiche übertragen, in denen völlig andere Fragen vorherrschen, nämlich politische, ökonomische, rechtliche oder auch alltagsweltliche“, erklärte er. Nassehi mahnte daher, das Verhältnis von Wissenschaft und ihren Abnehmenden und Nutznießenden genau zu beobachten.

🇬🇧 Last December (2023), the traditional ‘Auftakt’ event marked the start of the University of Oldenburg's anniversary year. November '24 the University and the Oldenburg University Society (UGO) have heralded the end of this special year together with around 800 invited guests at the celebratory ‘Auftakt 24/25’. The keynote speaker was the Munich sociologist and sought-after contemporary analyst Prof Dr Armin Nassehi. He spoke about society's current expectations of science - and why these expectations are often disappointed. ‘Scientific knowledge cannot simply be transferred to areas in which completely different issues prevail, namely political, economic, legal or even everyday issues,’ he explained. Nassehi therefore warned that the relationship between science and those who accept and benefit from it should be closely monitored.",1949,255,de-DE,https://i.ytimg.com/vi/1t-xgWbpSTI/hqdefault.jpg,4,2
gETdCp713y8,UCbVtIjTIrNYqozDxIJPjHHw,Universität Oldenburg,2024-11-21T11:49:37Z,https://www.youtube.com/watch?v=gETdCp713y8,Wie entstehen soziale Ungleichheiten und welche Folgen haben diese? | Universität Oldenburg,"Prof. Dr. Gundula Zoch lehrt und forscht seit 2021 als Juniorprofessorin für die Soziologie sozialer Ungleichheiten am Institut für Sozialwissenschaften. Sie forscht insbesondere zu sozialen Ungleichheiten in Beruf, Arbeit und Familie sowie zu Bildungsungleichheiten im Lebensverlauf. Dafür analysiert sie große Längsschnittbefragungen wie das Nationale Bildungspanel mit empirischen Methoden. Der UGO-Forschungspreis würdigt die besondere gesellschaftliche Relevanz von Zochs Forschung, die sich beispielsweise mit den Auswirkungen der Corona-Pandemie oder den Unterschieden zwischen Ost- und Westdeutschland befasst.

🇬🇧 Prof. Dr Gundula Zoch has been serving as Junior Professor of Sociology with a focus on Social Inequalities at the Institute of Social Sciences since 2021. Her research centres on social inequalities in work, family, and education, with an emphasis on analysing inequalities over the life course. She employs empirical methods to study large-scale longitudinal survey data, such as the National Education Panel Study (NEPS). Zoch receives the UGO research award in recognition of the social relevance of her research, addressing issues like the effects of the Covid pandemic and disparities between East and West Germany.",114,61,de-DE,https://i.ytimg.com/vi/gETdCp713y8/hqdefault.jpg,3,0
Qu4I_TwZpF0,UCbVtIjTIrNYqozDxIJPjHHw,Universität Oldenburg,2024-11-20T16:01:19Z,https://www.youtube.com/watch?v=Qu4I_TwZpF0,Preis der Lehre 2023/24 in der Kategorie „Lernräume gestalten“ | Universität Oldenburg,"Der Preis der Lehre 2023/24 in der Kategorie „Lernräume gestalten“ geht an den Vorschlag „Statistik für die Biologie“ von Prof. Dr. Jutta Kretzberg und Daniela Antonia Schwarz (FK VI, Department für Neurowissenschaften).",178,81,de-DE,https://i.ytimg.com/vi/Qu4I_TwZpF0/hqdefault.jpg,2,2
nZholnfs4mw,UCbVtIjTIrNYqozDxIJPjHHw,Universität Oldenburg,2024-11-20T15:58:31Z,https://www.youtube.com/watch?v=nZholnfs4mw,Preis der Lehre 2023/24 in der Kategorie „Forschendes Lernen“ | Universität Oldenburg,"Der Preis der Lehre 2023/24 in der Kategorie „Forschendes Lernen“ geht an den Vorschlag „Forschungsorientierte Einführung in die Experimentelle Philosophie“ von Dr. Alexander Max Bauer und Dr. Stephan Kornmesser (FK IV, Institut für Philosophie).",137,106,de-DE,https://i.ytimg.com/vi/nZholnfs4mw/hqdefault.jpg,5,0
fyWrtiu4I60,UCbVtIjTIrNYqozDxIJPjHHw,Universität Oldenburg,2024-11-20T15:58:04Z,https://www.youtube.com/watch?v=fyWrtiu4I60,Preis der Lehre 2023/24: Beste Veranstaltung | Universität Oldenburg,"Der Preis der Lehre 2023/24 in der Kategorie „Beste Veranstaltung“ geht an den Vorschlag „Cognitive Neurorehabilitation“ von Prof. Dr. Stefan Debener, Dr. Cornelia Kranczioch und Dr. Martin Georg Bleichner (FK VI, Department für Psychologie).",143,96,de-DE,https://i.ytimg.com/vi/fyWrtiu4I60/hqdefault.jpg,3,0
OfVN3T8RS6o,UCbVtIjTIrNYqozDxIJPjHHw,Universität Oldenburg,2024-11-20T11:51:03Z,https://www.youtube.com/watch?v=OfVN3T8RS6o,"50 Jahre, 50 Menschen: Thomas Badewien | Universität Oldenburg","Thomas Badewien
Leiter der Arbeitsgruppe Marine Sensorsysteme / Vertretung der Professur Marine Sensorik
Fakultät V - Mathematik und Naturwissenschaften
Institut für Chemie und Biologie des Meeres
An der Universität seit: 2004",105,38,de-DE,https://i.ytimg.com/vi/OfVN3T8RS6o/hqdefault.jpg,3,0
YEdc0WV6gCE,UCbVtIjTIrNYqozDxIJPjHHw,Universität Oldenburg,2024-11-19T14:19:11Z,https://www.youtube.com/watch?v=YEdc0WV6gCE,"50 Jahre, 50 Menschen:  Mareike Witkowski  | Universität Oldenburg","Wissenschaftliche Mitarbeiterin
Fakultät IV - Human- und Gesellschaftswissenschaften
Institut für Geschichte
An der Universität seit: 2005",94,43,de-DE,https://i.ytimg.com/vi/YEdc0WV6gCE/hqdefault.jpg,2,0
Mb0Gvuy_Qlk,UCbVtIjTIrNYqozDxIJPjHHw,Universität Oldenburg,2024-11-18T11:03:37Z,https://www.youtube.com/watch?v=Mb0Gvuy_Qlk,Metalepsen im höfischen Roman des Mittelalters | Universität Oldenburg,"📚 Metalepse – sagt euch der Begriff etwas? In modernen Filmen oder Fernsehserien wäre eine Metalepse, wenn sich ein Schauspieler plötzlich direkt an die Zuschauer wendet, also quasi das Durchbrechen der vierten Wand. 

Martin Sebastian Hammer hat den modernen literaturwissenschaftlichen Begriff der Metalepse in seiner Promotion auf mittelalterliche Texte angewandt und dadurch den Begriff neu modelliert. In seiner Arbeit hat er unter anderem Metalepsen im Parzival von Wolfram von Eschenbach analysiert.

Für seine herausragende Promotion erhielt er von Wiebke Schneidewind, der Vorsitzenden der Universitätsgesellschaft Oldenburg, den UGO-Preis.",111,118,de-DE,https://i.ytimg.com/vi/Mb0Gvuy_Qlk/hqdefault.jpg,3,0
