yt_id,channel_id,channel_title,published_at,url,title,description,duration_seconds,views,language,thumbnail,likes,comment_count
WrKnu7uirPE,UCN_aFLAXQEKZIa96PXxbi0Q,Universität Osnabrück,2024-11-28T07:53:42Z,https://www.youtube.com/watch?v=WrKnu7uirPE,Folge 2/2 - Costa Rica: 360°-Erlebnis Tieflandregenwald,"Willkommen zu unserem ersten 360°-Video! Taucht immersiv in die faszinierende Welt des Tieflandregenwaldes von La Gamba ein und entdeckt dieses einzigartige Ökosystem hautnah. In dieser virtuellen Exkursion erklärt Felix die Besonderheiten des Regenwaldes, darunter das beeindruckende Phänomen der Brettwurzeln – eine geniale Anpassung von Bäumen an die nährstoffarmen Böden der Tropen.

Erlebt hautnah, wie der Tieflandregenwald klingt, aussieht und sich anfühlt – fast, als wärt ihr selbst vor Ort. Dreht euch in alle Richtungen und entdeckt die Geheimnisse dieses magischen Ortes!

Schnappt euch eure VR-Brille oder nutzt euer Smartphone, um euch frei im Video umzusehen. Viel Spaß beim Erkunden!",385,55,de,https://i.ytimg.com/vi/WrKnu7uirPE/hqdefault.jpg,5,0
cJ8ezkLn9vo,UCN_aFLAXQEKZIa96PXxbi0Q,Universität Osnabrück,2024-11-20T08:00:24Z,https://www.youtube.com/watch?v=cJ8ezkLn9vo,Folge 2/1 - Costa Rica: Im Tieflandregenwald von La Gamba,"In dieser Episode erkunden wir das faszinierende Gelände des Tieflandregenwaldes von La Gamba, um die besten Drehorte für unsere kommenden 360°-Erklärvideos zu finden. In der nächsten Folge könnt ihr den Regenwald dann hautnah in 360° erleben – inklusive spannender Einblicke von Felix zu den Besonderheiten dieses einzigartigen Ökosystems.

Doch auch in diesem Video gibt es schon jede Menge zu entdecken: Wir lernen Kapuzineraffen kennen, die als wichtige Samenausbreiter im Regenwald agieren, und erfahren Spannendes über die Symbiose zwischen der Ameisenakazie und ihren Ameisenbewohnern. Außerdem beobachten wir Blattschneiderameisen bei ihrer Arbeit als „Landwirte“ und entdecken Pflanzen, die auf den Blättern anderer Pflanzen wachsen. Und Felix bekommt ein Tattoo aus dem Regenwald!

Schaltet ein und taucht mit uns ein in die Wunderwelt des Tieflandregenwaldes!",507,155,de,https://i.ytimg.com/vi/cJ8ezkLn9vo/hqdefault.jpg,9,0
67iGaSqkiUw,UCN_aFLAXQEKZIa96PXxbi0Q,Universität Osnabrück,2024-11-13T07:00:04Z,https://www.youtube.com/watch?v=67iGaSqkiUw,Folge 1 - Costa Rica: Die Abreise nach Costa Rica,"In diesem ersten Video der ""Project Biosphere goes Costa Rica""-Reihe stellt sich das Filmteam der Abteilung Biologiedidaktik vor: Vincent, Sebastian und Felix.

Nach einem kurzen Technikcheck brechen wir auf nach Costa Rica und erleben schon bei der Ankunft die beeindruckende Vielfalt der tropischen Natur. Auf dem Weg zu unserer ersten Station sichten wir mächtige Krokodile im Rio Tárcoles und bewundern die farbenprächtigen Roten Aras am Strand. Doch neben dieser Artenvielfalt begleiten uns auch endlose Reihen von Ölpalmenplantagen, die eine andere Seite der Landschaft zeigen. 

Bleibt dran und entdeckt Costa Rica mit uns!",674,179,de,https://i.ytimg.com/vi/67iGaSqkiUw/hqdefault.jpg,11,0
A0Mv7Cam1vo,UCN_aFLAXQEKZIa96PXxbi0Q,Universität Osnabrück,2024-11-12T10:59:39Z,https://www.youtube.com/watch?v=A0Mv7Cam1vo,KI in der Lehre,"Eine Infoveranstaltung zum Einsatz von Künstlicher Intelligenz in Studium und Lehre!
 
Diese Aufzeichnung ist auf Grundlage des sog. ZirkUOS, einer Infoveranstaltung zum Thema ""KI in der Lehre"", die an der Universität Osnabrück in den verschiedenen Fachbereichen und bei einzelnen Fächern durchgeführt wurde, entstanden.

Ziel der Infoveranstaltung des Zentrum für digitale Lehre, Campus-Management und Hochschuldidaktik (virtUOS) war es zum einen, die Aufmerksamkeit auf das Thema “KI in der Lehre” zu lenken und Lehrenden und Fächern niedrigschwellige Anhaltspunkte zur Reaktion auf die aktuellen Entwicklungen rund um generative KI-Systeme zu liefern. Zum anderen bestand die Motivation darin, vor Ort und im persönlichen Gespräch einen Einblick zu erhalten, was die Lehrenden in den Fächern und Fachbereichen zum Veranstaltungsthema beschäftigt.

Vor dem Hintergrund dieser Zielsetzung gliedert sich die Veranstaltung in zwei Bereiche. Zunächst gibt es einen Input, bei dem auf die folgenden übergeordneten Fragen eingegangen wird:

(1) Was ist generative KI und wie funktionieren generative KI-Tools?
(2) Wie kann die Lehre auf die aktuellen Entwicklungen reagieren?
(3) Welche Tools dürfen in der Lehre genutzt werden?
 

Folien: https://go.uos.de/zirkuos

Digitales Lehre Portal: https://go.uos.de/ki-lehre

kiwi: https://ki.uos.de

KI-Mimo (Selbstlerneinheit): https://go.uos.de/ki-mimo

Kontakt: virtuos@uni-osnabrueck.de",1764,326,de,https://i.ytimg.com/vi/A0Mv7Cam1vo/hqdefault.jpg,13,0
fQjbdUhcIWU,UCN_aFLAXQEKZIa96PXxbi0Q,Universität Osnabrück,2024-11-07T10:25:04Z,https://www.youtube.com/watch?v=fQjbdUhcIWU,Project Biosphere goes Costa Rica - Virtuelle Exkursion in die Tropen!,"Ab nächster Woche heißt es jeden Mittwoch: Willkommen zur virtuellen Entdeckungsreise durch Costa Rica! Begleitet ""Project Biosphere"", das Drehteam der Abteilung Biologiedidaktik, auf eine unvergessliche Reise durch eine Oase der Natur und Vielfalt. Ihre Videos entführen euch in die tiefen Regenwälder, die undurchdringlichen Mangroven und die majestätischen Berglandschaften Costa Ricas. 

Klickt auf ""Abonnieren"" und verpasst so keine der fesselnden Videos, die euch tief in die Schätze der Biodiversität Costa Ricas entführen.

Das Projekt wurde finanziell unterstützt von der Universitätsgesellschaft Osnabrück und der Sievert Stiftung für Wissenschaft und Kultur sowie dem Costa Rica Zentrum, dem Fachbereich Biologie und der Abteilung Biologiedidaktik der Uni Osnabrück.

Project Biosphere bedankt sich weiterhin beim DigiLab der Uni Osnabrück für die Technikausleihe und bei Jana Walczyk für das Design des Logos!",101,125,de,https://i.ytimg.com/vi/fQjbdUhcIWU/hqdefault.jpg,11,0
kSOQgRY_Ppg,UCN_aFLAXQEKZIa96PXxbi0Q,Universität Osnabrück,2024-10-24T13:48:15Z,https://www.youtube.com/watch?v=kSOQgRY_Ppg,Begrüßung unserer Erstsemester 2024!,Wie jedes Jahr haben wir in der OsnabrückHalle unsere Erstsemester gefeiert! Neben vielen Grußworten und einem bunten Programm gab es für die Erstis Infos satt. Wir wünschen euch einen tollen Start ins Studium!,203,572,de,https://i.ytimg.com/vi/kSOQgRY_Ppg/hqdefault.jpg,14,0
mMGkBjY6KHs,UCN_aFLAXQEKZIa96PXxbi0Q,Universität Osnabrück,2024-10-02T21:19:29Z,https://www.youtube.com/watch?v=mMGkBjY6KHs,Pressekonferenz zum Abschlussbericht zu sexualisierter Gewalt im Bistum Osnabrück,"Am Mittwoch, 2. Oktober, stellte die Universität Osnabrück den Abschlussbericht des Forschungsprojekts „Betroffene - Beschuldigte - Kirchenleitung: Sexualisierte Gewalt an Minderjährigen sowie schutz- und hilfebedürftigen Erwachsenen im Bistum Osnabrück“ der Presse vor. 

Trigger-Warnung: Diese Pressekonferenz behandelt Zusammenhänge, die bei einigen Menschen negative Erinnerungen und unangenehme Gefühle auslösen können. Falls Sie das Bedürfnis haben, mit jemanden darüber zu sprechen, nutzen Sie bitte die Angebote zur Beratung und Hilfe. Die Angebote richten sich ausdrücklich auch an Menschen, die selbst Betroffene sexualisierter Gewalt sind.
 
Angebote der Unabhängigen Beauftragten für Fragen des sexuellen Kindesmissbrauchs www.hilfe-portal-missbrauch.de
 
Hilfe-Telefon „berta“: 0800 30 50 750 (besetzt Dienstag 16-19 Uhr, Mittwoch, 9-12 Uhr)
 
Ansprechpersonen für Betroffene sexualisierter Gewalt:
Olaf Düring Diplom-Psychologe, Leiter der Familienberatungsstelle der Arbeiterwohlfahrt für die Region Osnabrück Telefon: 0800-5 01 56 84 E-Mail: duering@awo-os.de
 
Kerstin Hülbrock, Diplom-Sozialpädagogin bei der Familienberatungsstelle der Arbeiterwohlfahrt für die Region Osnabrück Telefon: 0800- 5 01 56 85 E-Mail: huelbrock@awo-os.de
 
Antonius Fahnemann Landgerichtspräsident a.D. Telefon: 0800-7 35 41 20 E-Mail: fahnemann@intervention-os.de

Der Abschlussbericht wird im Anschluss an den Pressetermin auf der Website des Forschungsprojekts abrufbar sein: https://www.s-gewalt.uni-osnabrueck.de/ergebnisse.html",4361,1461,de,https://i.ytimg.com/vi/mMGkBjY6KHs/hqdefault.jpg,23,0
yY2aJHQeKl0,UCN_aFLAXQEKZIa96PXxbi0Q,Universität Osnabrück,2024-09-19T08:44:22Z,https://www.youtube.com/watch?v=yY2aJHQeKl0,FreiRäume für Studierende: Wege zum selbstbestimmten Lernen,"Welche innovativen Ansätze gibt es an der Uni Osnabrück für das Lehren und Lernen? Wir zeigen euch interaktive Lernräume, die Möglichkeiten des Studierendenzentrums, die Angebote des UOS-Digitallabors ""DigiLab"" und natürlich mögliche Zukunftsszenarien! 

00:00 Überblick 
03:38 Innovative Lernräume 
07:33 Angebote des Studierendenzentrums 
11:20 Angebote des UOS-Digitallabors ""DigiLab"" 
15:47 Fragen aus dem Chat

https://digitale-lehre.uni-osnabrueck.de/uos-digilab

https://www.studz.uni-osnabrueck.de",1619,347,de,https://i.ytimg.com/vi/yY2aJHQeKl0/hqdefault.jpg,11,0
ez0jTd-hH1E,UCN_aFLAXQEKZIa96PXxbi0Q,Universität Osnabrück,2024-06-27T11:56:39Z,https://www.youtube.com/watch?v=ez0jTd-hH1E,Der Uniball im Jubiläumsjahr 2024!,"Den 50. Geburtstag der Uni feierten wir natürlich auch auf unserem jährlichen Ball der Universität - mit der besonders glanzvollen Jubiläumsausgabe!
https://go.uos.de/50jahre",71,1585,de,https://i.ytimg.com/vi/ez0jTd-hH1E/hqdefault.jpg,9,0
RdiA1ml-E9c,UCN_aFLAXQEKZIa96PXxbi0Q,Universität Osnabrück,2024-06-25T08:35:02Z,https://www.youtube.com/watch?v=RdiA1ml-E9c,Glückwünsche vom Ball der Universität,"Sommer, Sonne, Jubiläumsball! 
In der OsnabrückHalle feierten 2.500 gutgelaunte Gäste auf dem Ball der Universität. 

Mehr Infos zum Jubiläum unter www.uos.de/50jahre

#uos #UniOsnabrueck #50JahreUOS #jubel #jubelUOS #uniballuos2024",113,261,de,https://i.ytimg.com/vi/RdiA1ml-E9c/hqdefault.jpg,3,0
